1.122516494, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,AD Ceuta FC v CD Cabecense, Favorite: ,AD Ceuta FC, 8179917   size:2.43,Price: ,1.89,CD Cabecense, 7764344   size:34.57,Price: ,3.45,The Draw, 58805   size:13.37,Price: ,3.15,x
1.122477461, Sport: ,Soccer, Time: ,Sun Jan 10 11:30:00 CET 2016, Time: ,Sun Jan 10 11:30:00 CET 2016, Event: ,CF Rayo Majadahonda v CD Mensajero, Favorite: ,CF Rayo Majadahonda, 6929273   size:35.62,Price: ,1.77,CD Mensajero, 8532028   size:3.58,Price: ,5.4,The Draw, 58805   size:26.74,Price: ,3.7,ok
1.122477463, Sport: ,Soccer, Time: ,Sun Jan 10 11:30:00 CET 2016, Time: ,Sun Jan 10 11:30:00 CET 2016, Event: ,Club Portugalete v Sestao River, Favorite: ,Sestao River, 7602486   size:2.57,Price: ,2.38,Club Portugalete, 6283874   size:2.57,Price: ,3.5,The Draw, 58805   size:2.59,Price: ,3.1,ok
1.122477465, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Fuenlabrada v Getafe B, Favorite: ,Fuenlabrada, 2250336   size:10.09,Price: ,1.85,Getafe B, 4943234   size:2.64,Price: ,4.9,The Draw, 58805   size:2.25,Price: ,3.5,ok
1.122477467, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,La Roda v Sociedad B, Favorite: ,La Roda, 4923750   size:19.23,Price: ,2.44,Sociedad B, 2250345   size:5.25,Price: ,3.25,The Draw, 58805   size:63.45,Price: ,3.1,ok
1.122458842, Sport: ,Rugby Union, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,Wasps v Worcester, Favorite: ,Wasps, 8878   size:41.07,Price: ,1.13,Worcester Warriors, 833555   size:10.63,Price: ,7.6,Draw, 246289   size:4.2,Price: ,38.0,ok
1.122458841, Sport: ,Rugby Union, Time: ,Sun Jan 10 15:30:00 CET 2016, Time: ,Sun Jan 10 15:30:00 CET 2016, Event: ,Scarlets v Connacht, Favorite: ,Scarlets, 1339514   size:7.0,Price: ,1.39,Connacht, 50110   size:2.54,Price: ,3.6,Draw, 246289   size:2.01,Price: ,24.0,ok
1.122482892, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:45:00 CET 2016, Time: ,Sun Jan 10 15:45:00 CET 2016, Event: ,HC Lugano v EHC Biel, Favorite: ,Lugano, 243259   size:54.9,Price: ,1.01,Biel, 3315685   size:18.0,Price: ,2.54,Tie, 60104   size:18.0,Price: ,1.34,ok
1.122541398, Sport: ,Tennis, Time: ,Mon Jan 11 05:30:00 CET 2016, Time: ,Mon Jan 11 05:30:00 CET 2016, Event: ,Zhyrmont v G Granollers, Favorite: ,Dzmitry Zhyrmont, 7366760   size:2.7,Price: ,1.85,Gerard Granollers, 6391754   size:38.63,Price: ,1.86,ok
1.122480614, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,HC Pardubice v HC Liberec, Favorite: ,Tie, 60104   size:13.72,Price: ,1.04,Pardubice, 563269   size:17.71,Price: ,1.46,Liberec, 563262   size:12.31,Price: ,1.65,x
1.122519852, Sport: ,Basketball, Time: ,Sun Jan 10 18:00:00 CET 2016, Time: ,Sun Jan 10 18:00:00 CET 2016, Event: ,Dzukija v Neptunas, Favorite: ,Neptunas, 5261523   size:600.38,Price: ,1.04,Dzukija, 7817720   size:218.18,Price: ,1.11,x
1.122477451, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Racing Santander v Celta Vigo B, Favorite: ,Racing Santander, 24072   size:153.48,Price: ,1.39,Celta Vigo B, 7583222   size:2.0,Price: ,11.0,The Draw, 58805   size:14.13,Price: ,4.6,ok
1.122477453, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Tudelano v CD Izarra, Favorite: ,Tudelano, 4923754   size:4.06,Price: ,1.82,CD Izarra, 9320407   size:5.04,Price: ,5.0,The Draw, 58805   size:4.17,Price: ,3.6,ok
1.122480623, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:30:00 CET 2016, Time: ,Sun Jan 10 15:30:00 CET 2016, Event: ,PSG Zlin v HC Vitkovice, Favorite: ,Tie, 60104   size:13.72,Price: ,1.04,Zlin, 563266   size:11.04,Price: ,1.87,Vitkovice Steel, 2878390   size:12.31,Price: ,1.65,x
1.122477457, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,CD Ebro v Real Madrid B, Favorite: ,Real Madrid B, 6539994   size:30.91,Price: ,2.72,CD Ebro, 8041211   size:32.06,Price: ,2.82,The Draw, 58805   size:5.31,Price: ,3.3,ok
1.122538364, Sport: ,Basketball, Time: ,Sun Jan 10 18:00:00 CET 2016, Time: ,Sun Jan 10 18:00:00 CET 2016, Event: ,Breogan v Palencia, Favorite: ,Palencia, 4661101   size:57.87,Price: ,1.61,Breogan, 5030324   size:5.18,Price: ,2.42,ok
1.122480620, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,HC Ocelari Trinec v HC Kometa Brno, Favorite: ,Trinec, 563259   size:41.52,Price: ,1.8,Kometa Brno, 3304802   size:18.0,Price: ,2.42,Tie, 60104   size:9.48,Price: ,4.5,x
