1.121989762, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Brynas v Skelleftea, Favorite: ,Skelleftea, 247106   size:102.0,Price: ,2.36,Brynas, 60812   size:6.12,Price: ,2.62,Tie, 60104   size:101.0,Price: ,4.4,ok
1.121988797, Sport: ,Darts, Time: ,Fri Nov 27 21:30:00 CET 2015, Time: ,Fri Nov 27 21:30:00 CET 2015, Event: ,Robert Thornton v Jamie Lewis, Favorite: ,Robert Thornton, 2658190   size:23.76,Price: ,1.39,Jamie Lewis, 6432513   size:142.29,Price: ,3.0,x
1.121986013, Sport: ,Basketball, Time: ,Sat Nov 28 02:05:00 CET 2015, Time: ,Sat Nov 28 02:05:00 CET 2015, Event: ,Atlanta @ Memphis, Favorite: ,Memphis, 119812   size:3.45,Price: ,1.06,Atlanta, 13114   size:4.02,Price: ,1.64,x
1.122002995, Sport: ,Soccer, Time: ,Fri Nov 27 14:00:00 CET 2015, Time: ,Fri Nov 27 14:00:00 CET 2015, Event: ,Al Arabi v Al Ahli (QAT), Favorite: ,Al Arabi, 3922362   size:2.19,Price: ,2.28,Al Ahli (QAT), 5671996   size:2.55,Price: ,2.96,The Draw, 58805   size:3.59,Price: ,3.55,ok
1.121985732, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:15:00 CET 2015, Time: ,Fri Nov 27 19:15:00 CET 2015, Event: ,Dornbirn v SAPA Fehervar AV19, Favorite: ,Dornbirn, 6602890   size:3.79,Price: ,1.74,SAPA Fehervar AV19, 4182888   size:13.0,Price: ,3.85,Tie, 60104   size:116.3,Price: ,4.1,ok
1.121887829, Sport: ,Soccer, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,Inter Zapresic v Osijek, Favorite: ,Inter Zapresic, 729701   size:17.78,Price: ,1.99,Osijek, 16777   size:8.81,Price: ,4.0,The Draw, 58805   size:4.41,Price: ,3.65,x
1.121960999, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:45:00 CET 2015, Time: ,Fri Nov 27 20:45:00 CET 2015, Event: ,Northampton v Gloucester, Favorite: ,Northampton, 50103   size:55.0,Price: ,1.24,Gloucester, 168   size:2.77,Price: ,5.3,Draw, 246289   size:3.98,Price: ,28.0,ok
1.121886610, Sport: ,Soccer, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Salernitana v Pro Vercelli, Favorite: ,Salernitana, 60303   size:9.94,Price: ,2.12,Pro Vercelli, 5369664   size:34.65,Price: ,4.4,The Draw, 58805   size:45.19,Price: ,3.2,x
1.121888232, Sport: ,Soccer, Time: ,Fri Nov 27 20:30:00 CET 2015, Time: ,Fri Nov 27 20:30:00 CET 2015, Event: ,Lierse v Excelsior Virton, Favorite: ,Lierse, 65800   size:12.09,Price: ,1.96,Excelsior Virton, 505672   size:54.94,Price: ,4.2,The Draw, 58805   size:8.87,Price: ,3.7,x
1.121936091, Sport: ,Soccer, Time: ,Sat Nov 28 01:00:00 CET 2015, Time: ,Sat Nov 28 01:00:00 CET 2015, Event: ,Univ Catolica (Ecu) v Mushuc Runa, Favorite: ,Univ Catolica (Ecu), 7005170   size:4.67,Price: ,1.41,Mushuc Runa, 8225986   size:36.67,Price: ,5.9,The Draw, 58805   size:4.23,Price: ,3.9,x
