1.122218820, Sport: ,Soccer, Time: ,Fri Dec 11 22:00:00 CET 2015, Time: ,Fri Dec 11 22:00:00 CET 2015, Event: ,CF Union Viera v V de Santa Brigida, Favorite: ,CF Union Viera, 7313631   size:2.55,Price: ,1.89,V de Santa Brigida, 2522836   size:34.61,Price: ,3.35,The Draw, 58805   size:34.61,Price: ,3.15,x
1.122218545, Sport: ,Soccer, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Khaitan v Al Salmiyah, Favorite: ,Al Salmiyah, 7188818   size:2.55,Price: ,1.16,Khaitan, 9359990   size:18.45,Price: ,10.0,The Draw, 58805   size:4.29,Price: ,6.0,ok
1.122239155, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Sapko v Hokki, Favorite: ,Hokki, 275251   size:54.86,Price: ,1.01,Sapko, 4196539   size:4.54,Price: ,2.32,Tie, 60104   size:27.43,Price: ,1.02,ok
1.122225910, Sport: ,Soccer, Time: ,Sat Dec 12 00:00:00 CET 2015, Time: ,Sat Dec 12 00:00:00 CET 2015, Event: ,USA U20 (W) v Honduras U20 (W), Favorite: ,USA U20 (W), 4835208   size:66.45,Price: ,1.02,Honduras U20 (W), 7108628   size:21.68,Price: ,70.0,The Draw, 58805   size:3.44,Price: ,4.2,ok
1.122203573, Sport: ,Basketball, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,Bayern Munchen v Real Madrid, Favorite: ,Real Madrid, 266274   size:23.32,Price: ,1.41,Bayern Munchen, 5859175   size:6.92,Price: ,3.3,ok
1.122218490, Sport: ,Soccer, Time: ,Fri Dec 11 16:30:00 CET 2015, Time: ,Fri Dec 11 16:30:00 CET 2015, Event: ,Al Faisaly (JOR) v Al Buqaa, Favorite: ,Al Faisaly (JOR), 5551580   size:7.9,Price: ,1.37,Al Buqaa, 10428791   size:8.79,Price: ,5.8,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122189700, Sport: ,Snooker, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,Mark Selby v Sydney Wilson, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.06,Sydney Wilson, 6570641   size:36.61,Price: ,7.0,ok
1.122180769, Sport: ,Handball, Time: ,Fri Dec 11 18:15:00 CET 2015, Time: ,Fri Dec 11 18:15:00 CET 2015, Event: ,Romania v Russia, Favorite: ,Russia, 602689   size:2.67,Price: ,1.35,Romania, 620376   size:3.65,Price: ,3.55,Draw, 330157   size:2.67,Price: ,5.3,ok
1.122203856, Sport: ,Basketball, Time: ,Fri Dec 11 09:15:00 CET 2015, Time: ,Fri Dec 11 09:15:00 CET 2015, Event: ,Blackwater Elite v Barako Bull Energy, Favorite: ,Barako Bull Energy, 5087272   size:2.55,Price: ,1.68,Blackwater Elite, 8911707   size:2.55,Price: ,2.32,x
1.122189701, Sport: ,Snooker, Time: ,Fri Dec 11 12:30:00 CET 2015, Time: ,Fri Dec 11 12:30:00 CET 2015, Event: ,Stephen Maguire v Sanderson Lam, Favorite: ,Stephen Maguire, 2278793   size:82.6,Price: ,1.13,Sanderson Lam, 6644308   size:3.71,Price: ,5.5,ok
1.122180765, Sport: ,Handball, Time: ,Fri Dec 11 16:00:00 CET 2015, Time: ,Fri Dec 11 16:00:00 CET 2015, Event: ,Puerto Rico v Kazakhstan, Favorite: ,Kazakhstan, 620379   size:200.0,Price: ,1.05,Puerto Rico, 9978204   size:18.0,Price: ,1.17,Draw, 330157   size:18.0,Price: ,1.15,x
1.122183249, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:30:00 CET 2015, Time: ,Fri Dec 11 20:30:00 CET 2015, Event: ,Cardiff v Montpellier, Favorite: ,Montpellier, 632441   size:2.69,Price: ,1.53,Cardiff, 8880   size:8.62,Price: ,2.82,Draw, 246289   size:16.33,Price: ,25.0,x
1.122218655, Sport: ,Soccer, Time: ,Fri Dec 11 19:30:00 CET 2015, Time: ,Fri Dec 11 19:30:00 CET 2015, Event: ,Zebbug Rangers FC v Melita FC Saint Julian, Favorite: ,Zebbug Rangers FC, 8059675   size:2.65,Price: ,1.89,Melita FC Saint Julian, 6593950   size:10.36,Price: ,2.74,The Draw, 58805   size:4.0,Price: ,3.4,ok
1.122218930, Sport: ,Soccer, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Cumbernauld Colts v Port Glasgow BC, Favorite: ,Cumbernauld Colts, 10290983   size:4.98,Price: ,1.11,Port Glasgow BC, 10252072   size:77.83,Price: ,1.12,The Draw, 58805   size:19.38,Price: ,3.15,ok
1.122245938, Sport: ,Tennis, Time: ,Fri Dec 11 11:30:00 CET 2015, Time: ,Fri Dec 11 11:30:00 CET 2015, Event: ,Ulrikke Eikeri v Tessah Andrianjafitrimo, Favorite: ,Ulrikke Eikeri, 8679187   size:77.54,Price: ,1.64,Tessah Andrianjafitrimo, 9345643   size:5.0,Price: ,2.32,x
1.122180773, Sport: ,Handball, Time: ,Fri Dec 11 20:30:00 CET 2015, Time: ,Fri Dec 11 20:30:00 CET 2015, Event: ,Norway v Spain, Favorite: ,Spain, 620381   size:18.0,Price: ,1.14,Norway, 602690   size:12.0,Price: ,1.51,Draw, 330157   size:18.0,Price: ,1.18,x
1.122217005, Sport: ,Basketball, Time: ,Fri Dec 11 21:00:00 CET 2015, Time: ,Fri Dec 11 21:00:00 CET 2015, Event: ,Melilla v Barcelona B, Favorite: ,Melilla, 4661088   size:2.76,Price: ,1.03,Barcelona B, 6719087   size:2.76,Price: ,1.03,ok
1.122216638, Sport: ,Soccer, Time: ,Fri Dec 11 16:30:00 CET 2015, Time: ,Fri Dec 11 16:30:00 CET 2015, Event: ,Al Sharjah v Bani Yas, Favorite: ,Bani Yas, 6057930   size:2.55,Price: ,2.4,Al Sharjah, 3607226   size:2.55,Price: ,2.86,The Draw, 58805   size:2.55,Price: ,3.6,x
1.122207746, Sport: ,Basketball, Time: ,Fri Dec 11 23:00:00 CET 2015, Time: ,Fri Dec 11 23:00:00 CET 2015, Event: ,Bauru v Sao Jose, Favorite: ,Bauru, 6243647   size:2.76,Price: ,1.03,Sao Jose, 7072335   size:2.76,Price: ,1.03,ok
1.122203657, Sport: ,Basketball, Time: ,Fri Dec 11 20:30:00 CET 2015, Time: ,Fri Dec 11 20:30:00 CET 2015, Event: ,Strasbourg v Khimki, Favorite: ,Strasbourg, 1193143   size:2.76,Price: ,1.03,Khimki, 2154546   size:45.71,Price: ,1.35,x
1.122194707, Sport: ,Soccer, Time: ,Fri Dec 11 18:00:00 CET 2015, Time: ,Fri Dec 11 18:00:00 CET 2015, Event: ,Elazigspor v Karabukspor, Favorite: ,Elazigspor, 196063   size:10.08,Price: ,2.46,Karabukspor, 3292145   size:4.84,Price: ,3.2,The Draw, 58805   size:67.12,Price: ,3.3,ok
1.122216563, Sport: ,Soccer, Time: ,Fri Dec 11 13:40:00 CET 2015, Time: ,Fri Dec 11 13:40:00 CET 2015, Event: ,Emirates Club v Al Shabab (UAE), Favorite: ,Al Shabab (UAE), 3727832   size:3.65,Price: ,1.92,Emirates Club, 5305983   size:2.55,Price: ,3.95,The Draw, 58805   size:5.48,Price: ,3.55,ok
