1.121856608, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,VVV/Helmond Sport (Res) v Feyenoord (Res), Favorite: ,Feyenoord (Res), 10143914   size:2.55,Price: ,1.15,VVV/Helmond Sport (Res), 10138962   size:5.86,Price: ,5.7,The Draw, 58805   size:4.09,Price: ,2.98,ok
1.121958156, Sport: ,Soccer, Time: ,Mon Nov 23 10:00:00 CET 2015, Time: ,Mon Nov 23 10:00:00 CET 2015, Event: ,Rostov (Y) v FC Ufa (Y), Favorite: ,Rostov (Y), 9048042   size:99.99,Price: ,1.22,FC Ufa (Y), 10178767   size:41.34,Price: ,10.0,The Draw, 58805   size:41.34,Price: ,4.3,ok
1.121958398, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Alloa U20 v Forfar U20, Favorite: ,Alloa U20, 9243282   size:10.0,Price: ,1.12,Forfar U20, 9244793   size:10.0,Price: ,1.12,The Draw, 58805   size:11.47,Price: ,2.88,x
1.121818407, Sport: ,Soccer, Time: ,Mon Nov 23 19:00:00 CET 2015, Time: ,Mon Nov 23 19:00:00 CET 2015, Event: ,Elversberg v Hoffenheim II, Favorite: ,Elversberg, 500893   size:36.26,Price: ,1.72,Hoffenheim II, 5730521   size:5.0,Price: ,5.3,The Draw, 58805   size:64.3,Price: ,4.0,ok
1.121818085, Sport: ,Soccer, Time: ,Mon Nov 23 19:45:00 CET 2015, Time: ,Mon Nov 23 19:45:00 CET 2015, Event: ,Wohlen v Winterthur, Favorite: ,Wohlen, 457844   size:2.83,Price: ,2.54,Winterthur, 458019   size:155.64,Price: ,2.98,The Draw, 58805   size:12.27,Price: ,3.5,ok
1.121851799, Sport: ,Soccer, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,Quilmes v Olimpo, Favorite: ,Quilmes, 476270   size:35.92,Price: ,2.12,Olimpo, 194517   size:96.93,Price: ,4.4,The Draw, 58805   size:139.2,Price: ,3.15,x
1.121910975, Sport: ,Handball, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,Ribe Esbjerg v SonderjyskE, Favorite: ,Ribe Esbjerg, 6602892   size:18.0,Price: ,1.15,SonderjyskE, 4155763   size:4.81,Price: ,1.7,Draw, 330157   size:18.0,Price: ,1.23,x
1.121856440, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Coventry U21 v Sheff Wed U21, Favorite: ,Coventry U21, 6812039   size:10.0,Price: ,1.12,Sheff Wed U21, 6813026   size:10.0,Price: ,1.12,The Draw, 58805   size:62.02,Price: ,3.1,x
1.121816186, Sport: ,Soccer, Time: ,Mon Nov 23 20:15:00 CET 2015, Time: ,Mon Nov 23 20:15:00 CET 2015, Event: ,Nurnberg v Braunschweig, Favorite: ,Nurnberg, 121724   size:276.45,Price: ,2.14,Braunschweig, 199184   size:13.2,Price: ,3.8,The Draw, 58805   size:388.85,Price: ,3.55,ok
1.121856442, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Birmingham U21 v Hull U21, Favorite: ,Birmingham U21, 6813025   size:10.0,Price: ,1.12,Hull U21, 10123519   size:10.0,Price: ,1.12,The Draw, 58805   size:62.02,Price: ,3.1,x
1.121856444, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Charlton U21 v C Palace U21, Favorite: ,Charlton U21, 6808104   size:10.0,Price: ,1.12,C Palace U21, 6614440   size:10.0,Price: ,1.12,The Draw, 58805   size:62.02,Price: ,3.1,ok
1.121957172, Sport: ,Soccer, Time: ,Mon Nov 23 13:00:00 CET 2015, Time: ,Mon Nov 23 13:00:00 CET 2015, Event: ,FC Hradec Kralove U21 v FC Zbrojovka Brno U21, Favorite: ,FC Hradec Kralove U21, 6563655   size:2.55,Price: ,2.2,FC Zbrojovka Brno U21, 6553194   size:2.29,Price: ,2.46,The Draw, 58805   size:4.64,Price: ,3.8,x
1.121961315, Sport: ,Soccer, Time: ,Mon Nov 23 12:00:00 CET 2015, Time: ,Mon Nov 23 12:00:00 CET 2015, Event: ,FC Banants Yerevan II v Ulisses Yerevan FC II, Favorite: ,FC Banants Yerevan II, 7167663   size:4.07,Price: ,1.23,Ulisses Yerevan FC II, 8802560   size:2.75,Price: ,7.2,The Draw, 58805   size:3.61,Price: ,5.4,ok
1.121967658, Sport: ,Tennis, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Lao v Brady, Favorite: ,Jennifer Brady, 8784966   size:7.55,Price: ,1.43,Danielle Lao, 8826936   size:2.55,Price: ,3.0,ok
1.121879251, Sport: ,Ice Hockey, Time: ,Mon Nov 23 19:45:00 CET 2015, Time: ,Mon Nov 23 19:45:00 CET 2015, Event: ,ZSC Lions v SCL Tigers, Favorite: ,ZSC Lions, 243260   size:5.02,Price: ,1.31,SCL Tigers, 243257   size:6.02,Price: ,6.2,Tie, 60104   size:10.17,Price: ,8.0,ok
1.121849069, Sport: ,Cricket, Time: ,Mon Nov 23 13:45:00 CET 2015, Time: ,Mon Nov 23 13:45:00 CET 2015, Event: ,Rangpur v Barisal, Favorite: ,Rangpur, 6965213   size:15.65,Price: ,1.82,Barisal, 6119232   size:4.67,Price: ,2.14,x
1.121958266, Sport: ,Soccer, Time: ,Mon Nov 23 17:45:00 CET 2015, Time: ,Mon Nov 23 17:45:00 CET 2015, Event: ,Yarmouk (KUW) v Kuwait SC, Favorite: ,Kuwait SC, 3013377   size:2.23,Price: ,1.14,Yarmouk (KUW), 9274400   size:5.01,Price: ,8.4,The Draw, 58805   size:5.49,Price: ,5.9,ok
1.121957330, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Acharnaikos v AOK Kerkyra, Favorite: ,AOK Kerkyra, 8785880   size:3.06,Price: ,2.12,Acharnaikos, 541519   size:2.56,Price: ,3.65,The Draw, 58805   size:2.89,Price: ,3.15,x
1.121866752, Sport: ,Soccer, Time: ,Mon Nov 23 19:00:00 CET 2015, Time: ,Mon Nov 23 19:00:00 CET 2015, Event: ,RSB Berkane v FUS Rabat, Favorite: ,RSB Berkane, 6666990   size:3.56,Price: ,2.76,FUS Rabat, 6681575   size:47.0,Price: ,3.1,The Draw, 58805   size:54.05,Price: ,3.05,x
1.121952966, Sport: ,Tennis, Time: ,Mon Nov 23 15:00:00 CET 2015, Time: ,Mon Nov 23 15:00:00 CET 2015, Event: ,Ocleppo v Berrer, Favorite: ,Michael Berrer, 2263684   size:968.3,Price: ,1.05,Julian Ocleppo, 9630560   size:3.37,Price: ,14.0,ok
1.121817789, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Jong PSV v Jong Ajax, Favorite: ,Jong PSV, 3348592   size:5.0,Price: ,2.2,Jong Ajax, 4184832   size:183.57,Price: ,3.3,The Draw, 58805   size:15.68,Price: ,3.8,x
