1.119040580, Sport: ,Snooker, Time: ,Tue Jun 16 09:00:00 CEST 2015, Time: ,Tue Jun 16 09:00:00 CEST 2015, Event: ,Hong Kong v Iran, Favorite: ,Hong Kong, 5674290   size:5.44,Price: ,1.35,Iran, 9546436   size:4.71,Price: ,3.4,ok
1.119162366, Sport: ,Tennis, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,Ismailov v Kalovelonis, Favorite: ,Temur Ismailov, 8304044   size:47.2,Price: ,1.39,Markos Kalovelonis, 8713238   size:2.41,Price: ,3.3,ok
1.119171999, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Mi Basic v Coppejans, Favorite: ,Mirza Basic, 5499167   size:10.93,Price: ,1.89,Kimmer Coppejans, 7364095   size:3.47,Price: ,1.94,ok
1.119157074, Sport: ,Tennis, Time: ,Tue Jun 16 11:00:00 CEST 2015, Time: ,Tue Jun 16 11:00:00 CEST 2015, Event: ,Lapentti v Samper-Montana, Favorite: ,Jordi Samper-Montana, 8258998   size:5.25,Price: ,1.83,Giovanni Lapentti, 1565   size:4.84,Price: ,1.99,ok
1.119157393, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,Querrey v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:3431.0,Price: ,1.63,Sam Querrey, 2263560   size:521.86,Price: ,2.52,ok
1.119167073, Sport: ,Tennis, Time: ,Tue Jun 16 11:45:00 CEST 2015, Time: ,Tue Jun 16 11:45:00 CEST 2015, Event: ,Giustino v Roca Batalla, Favorite: ,Lorenzo Giustino, 7534093   size:5.76,Price: ,1.71,Oriol Roca Batalla, 7216519   size:4.4,Price: ,2.18,x
1.119158366, Sport: ,Tennis, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,P Cuevas v Janowicz, Favorite: ,Jerzy Janowicz, 3103303   size:31.03,Price: ,1.43,Pablo Cuevas, 2424953   size:48.08,Price: ,3.05,ok
1.119156984, Sport: ,Tennis, Time: ,Tue Jun 16 10:30:00 CEST 2015, Time: ,Tue Jun 16 10:30:00 CEST 2015, Event: ,Klec v Riba, Favorite: ,Pere Riba, 2489421   size:98.4,Price: ,1.3,Ivo Klec, 2743820   size:33.48,Price: ,3.9,ok
1.119159810, Sport: ,Tennis, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Zverev/Zverev v Draganja/Kontinen, Favorite: ,Draganja/Kontinen, 8462597   size:6.09,Price: ,1.49,Zverev/Zverev, 2093455   size:6.01,Price: ,2.38,ok
1.119158518, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,D Thiem v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:15793.85,Price: ,1.15,Dominic Thiem, 5720747   size:43.71,Price: ,6.6,ok
