1.120296869, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Zanevska v Kozlova, Favorite: ,Kateryna Kozlova, 7051154   size:13.66,Price: ,1.65,Maryna Zanevska, 6390239   size:27.59,Price: ,2.46,
1.120296881, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,P Mathieu v Falla, Favorite: ,Paul-Henri Mathieu, 8259186   size:208.34,Price: ,1.45,Alejandro Falla, 2284300   size:113.36,Price: ,3.0,
1.120296852, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Liu v Panova, Favorite: ,Alexandra Panova, 3220169   size:24.49,Price: ,1.3,Claire Liu, 9633041   size:5.33,Price: ,4.3,
1.120265087, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Estonia (W) v Latvia (W), Favorite: ,Estonia (W), 5767801   size:5.0,Price: ,1.07,The Draw, 58805   size:7.03,Price: ,1.12,
1.120296865, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,G Pella v Bourgue, Favorite: ,Guido Pella, 6162610   size:16.22,Price: ,1.4,Mathias Bourgue, 7066925   size:36.8,Price: ,3.4,
1.120297570, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Kudryavtseva v S Rogers, Favorite: ,Alla Kudryavtseva, 2263696   size:7.07,Price: ,1.65,Shelby Rogers, 4943786   size:14.75,Price: ,2.44,
1.120258075, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,FC Voluntari v CS Uni Craiova, Favorite: ,CS Uni Craiova, 7615862   size:409.3,Price: ,2.7,The Draw, 58805   size:33.84,Price: ,3.05,FC Voluntari, 8838645   size:25.93,Price: ,3.1,
1.120157799, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Tulevik Viljandi v Trans Narva, Favorite: ,Trans Narva, 46983   size:10.46,Price: ,1.48,The Draw, 58805   size:61.72,Price: ,4.4,Tulevik Viljandi, 6242675   size:3.58,Price: ,7.0,
1.120157964, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,MaPS v AIFK, Favorite: ,Maps, 496724   size:25.54,Price: ,1.81,The Draw, 58805   size:34.43,Price: ,4.1,AIFK, 436012   size:5.05,Price: ,4.3,
1.120263474, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Cagliari v US Olbia 1905, Favorite: ,The Draw, 58805   size:136.49,Price: ,1.06,
