1.121193987, Sport: ,Soccer, Time: ,Mon Oct 12 19:30:00 CEST 2015, Time: ,Mon Oct 12 19:30:00 CEST 2015, Event: ,Strindheim II v Rosenborg II, Favorite: ,Rosenborg II, 5412786   size:2.55,Price: ,1.19,Strindheim II, 5643029   size:2.55,Price: ,2.26,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.121195528, Sport: ,Tennis, Time: ,Tue Oct 13 01:30:00 CEST 2015, Time: ,Tue Oct 13 01:30:00 CEST 2015, Event: ,D King v R Harrison, Favorite: ,Ryan Harrison, 2923247   size:3.73,Price: ,1.34,Darian King, 8413749   size:11.7,Price: ,3.5,x
1.121202159, Sport: ,Soccer, Time: ,Tue Oct 13 03:30:00 CEST 2015, Time: ,Tue Oct 13 03:30:00 CEST 2015, Event: ,Harbour View FC v Arnett Gardens FC, Favorite: ,Arnett Gardens FC, 7666192   size:12.24,Price: ,1.55,Harbour View FC, 7688378   size:12.18,Price: ,1.6,The Draw, 58805   size:4.69,Price: ,2.22,ok
1.121188682, Sport: ,Tennis, Time: ,Tue Oct 13 09:00:00 CEST 2015, Time: ,Tue Oct 13 09:00:00 CEST 2015, Event: ,Lopez/Mirnyi v Garcia-Lopez/Mayer, Favorite: ,Lopez/Mirnyi, 8329155   size:2.55,Price: ,1.47,Garcia-Lopez/Mayer, 10405128   size:2.27,Price: ,2.7,ok
1.121206516, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,M Granollers v T Yang, Favorite: ,Marcel Granollers, 3035263   size:4.06,Price: ,1.23,Tsung-Hua Yang, 8259003   size:7.3,Price: ,4.2,ok
1.121157966, Sport: ,Basketball, Time: ,Tue Oct 13 02:30:00 CEST 2015, Time: ,Tue Oct 13 02:30:00 CEST 2015, Event: ,Philadelphia @ New York, Favorite: ,New York, 13106   size:8.2,Price: ,1.03,Philadelphia, 13103   size:5.71,Price: ,1.34,ok
1.121206879, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,Saville/Thompson v Bega/Fabbiano, Favorite: ,Saville/Thompson, 9002061   size:8.2,Price: ,1.03,Bega/Fabbiano, 10408026   size:8.2,Price: ,1.03,x
1.121157969, Sport: ,Basketball, Time: ,Tue Oct 13 01:30:00 CEST 2015, Time: ,Tue Oct 13 01:30:00 CEST 2015, Event: ,San Antonio @ Miami, Favorite: ,Miami, 13109   size:8.2,Price: ,1.03,San Antonio, 13121   size:5.71,Price: ,1.17,ok
1.121205269, Sport: ,Tennis, Time: ,Mon Oct 12 22:00:00 CEST 2015, Time: ,Mon Oct 12 22:00:00 CEST 2015, Event: ,Carter/null v Behar/Gonzales, Favorite: ,Behar/Gonzales, 10248541   size:6.15,Price: ,1.04,Carter/null, 10409710   size:43.59,Price: ,7.2,ok
1.121206511, Sport: ,Tennis, Time: ,Tue Oct 13 03:00:00 CEST 2015, Time: ,Tue Oct 13 03:00:00 CEST 2015, Event: ,Takahata v Sawayanagi, Favorite: ,Riko Sawayanagi, 8839049   size:8.2,Price: ,1.03,Kotomi Takahata, 8887182   size:102.9,Price: ,1.08,ok
