1.119281297, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Kontaveit v Azarenka, Favorite: ,Victoria Azarenka, 2263640   size:2424.51,Price: ,1.14,Anett Kontaveit, 5300737   size:64.75,Price: ,7.6,ok
1.119281494, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Gallovits-Hall v Radwanska, Favorite: ,Urszula Radwanska, 2395156   size:187.89,Price: ,1.2,Edina Gallovits-Hall, 9157608   size:26.89,Price: ,5.3,ok
1.119281211, Sport: ,Tennis, Time: ,Mon Jun 29 14:00:00 CEST 2015, Time: ,Mon Jun 29 14:00:00 CEST 2015, Event: ,Zhu v Sasnovich, Favorite: ,Aliaksandra Sasnovich, 7283310   size:8.69,Price: ,1.44,Lin Zhu, 8714569   size:46.13,Price: ,3.0,ok
1.119273749, Sport: ,Tennis, Time: ,Mon Jun 29 14:00:00 CEST 2015, Time: ,Mon Jun 29 14:00:00 CEST 2015, Event: ,N Djokovic v Kohlschreiber, Favorite: ,Novak Djokovic, 2249229   size:235312.04,Price: ,1.05,Philipp Kohlschreiber, 2257302   size:120.69,Price: ,19.5,ok
1.119296629, Sport: ,Tennis, Time: ,Mon Jun 29 13:45:00 CEST 2015, Time: ,Mon Jun 29 13:45:00 CEST 2015, Event: ,Podlipnik-Castillo v Travaglia, Favorite: ,Hans Podlipnik-Castillo, 8461633   size:4.41,Price: ,1.43,Stefano Travaglia, 8477117   size:2.14,Price: ,2.94,ok
1.119273747, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,P Cuevas v Kudla, Favorite: ,Denis Kudla, 4829260   size:10.83,Price: ,1.75,Pablo Cuevas, 2424953   size:28.71,Price: ,2.32,ok
1.119273823, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,K De Schepper v Smith, Favorite: ,Kenny De Schepper, 5617034   size:2345.21,Price: ,1.6,John-Patrick Smith, 8243874   size:221.21,Price: ,2.6,ok
1.119279024, Sport: ,Tennis, Time: ,Mon Jun 29 18:30:00 CEST 2015, Time: ,Mon Jun 29 18:30:00 CEST 2015, Event: ,Brengle v Williams, Favorite: ,Venus Williams, 2309518   size:70.04,Price: ,1.22,Madison Brengle, 2263603   size:109.19,Price: ,5.0,ok
1.119273900, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,L Mayer v T Kokkinakis, Favorite: ,Leonardo Mayer, 3186303   size:101.11,Price: ,1.51,Thanasi Kokkinakis, 8172416   size:42.32,Price: ,2.86,ok
1.119296625, Sport: ,Tennis, Time: ,Mon Jun 29 16:00:00 CEST 2015, Time: ,Mon Jun 29 16:00:00 CEST 2015, Event: ,Alejandro Gonzalez v Sousa, Favorite: ,Alejandro Gonzalez, 6604262   size:2.6,Price: ,1.24,Pedro Sousa, 2395048   size:18.54,Price: ,4.2,ok
