1.119346668, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Latifi v Stringer, Favorite: ,Ilir Latifi, 7176193   size:2.92,Price: ,1.42,Hans Stringer, 8397617   size:2.92,Price: ,2.72,ok
1.119549260, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Nancy v ESTAC Troyes, Favorite: ,ESTAC Troyes, 4864974   size:6.19,Price: ,1.73,The Draw, 58805   size:66.98,Price: ,3.15,Nancy, 70468   size:50.52,Price: ,3.85,x
1.119551595, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,York City v Sheff Wed, Favorite: ,Sheff Wed, 47992   size:165.53,Price: ,1.87,The Draw, 58805   size:70.25,Price: ,3.05,York City, 256226   size:58.77,Price: ,3.45,x
1.119541674, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Sweden U19 (W) v Denmark U19 (W), Favorite: ,Sweden U19 (W), 4044103   size:11.13,Price: ,1.9,Denmark U19 (W), 5445806   size:8.25,Price: ,3.1,The Draw, 58805   size:25.92,Price: ,3.65,ok
1.119355190, Sport: ,Basketball, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,China U19 (W) v Egypt U19 (W), Favorite: ,China U19 (W), 7433615   size:2.88,Price: ,1.02,Egypt U19 (W), 9789212   size:144.01,Price: ,1.03,ok
1.119355193, Sport: ,Basketball, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Russia U19 (W) v Chinese Taipei U19 (W), Favorite: ,Chinese Taipei U19 (W), 9789213   size:2.88,Price: ,1.02,x
1.119516203, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Falkirk v Partick, Favorite: ,Partick, 191567   size:2.63,Price: ,2.1,Falkirk, 328049   size:2.63,Price: ,2.88,The Draw, 58805   size:14.4,Price: ,3.4,x
1.119428666, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Fram v KA Akureyri, Favorite: ,KA Akureyri, 399804   size:28.8,Price: ,2.0,Fram, 808415   size:72.01,Price: ,3.05,The Draw, 58805   size:11.07,Price: ,3.6,x
1.119551454, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Weston-super-Mare v Cheltenham, Favorite: ,Cheltenham, 18559   size:214.94,Price: ,1.67,The Draw, 58805   size:58.77,Price: ,3.45,Weston-super-Mare, 597722   size:50.52,Price: ,3.85,ok
1.119549495, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Oostende v Lille, Favorite: ,Lille, 44790   size:122.04,Price: ,2.18,Oostende, 505717   size:92.31,Price: ,2.56,The Draw, 58805   size:66.98,Price: ,3.15,ok
