1.119173225, Sport: ,Basketball, Time: ,Thu Jun 18 20:30:00 CEST 2015, Time: ,Thu Jun 18 20:30:00 CEST 2015, Event: ,Croatia (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:2.55,Price: ,1.06,Croatia (W), 6469564   size:70.55,Price: ,10.0,ok
1.119187180, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Paszek v Vickery, Favorite: ,Tamira Paszek, 2263715   size:2.55,Price: ,1.79,Sachia Vickery, 6596286   size:20.93,Price: ,2.1,ok
1.119179212, Sport: ,Tennis, Time: ,Thu Jun 18 12:30:00 CEST 2015, Time: ,Thu Jun 18 12:30:00 CEST 2015, Event: ,Hogenkamp v Pous-Tio, Favorite: ,Richel Hogenkamp, 6440521   size:8.31,Price: ,1.8,Laura Pous-Tio, 8443238   size:8.25,Price: ,2.08,ok
1.119130533, Sport: ,Baseball, Time: ,Thu Jun 18 19:05:00 CEST 2015, Time: ,Thu Jun 18 19:05:00 CEST 2015, Event: ,BAL @ PHI, Favorite: ,Baltimore (B Norris), 7545089   size:1051.0,Price: ,1.58,Philadelphia (S OSullivan), 8659035   size:4.99,Price: ,2.56,x
1.119130565, Sport: ,Baseball, Time: ,Thu Jun 18 21:40:00 CEST 2015, Time: ,Thu Jun 18 21:40:00 CEST 2015, Event: ,LAA @ ARI, Favorite: ,LA Angels (C Wilson), 6296977   size:8.24,Price: ,1.83,Arizona (A Webster), 9609119   size:133.01,Price: ,2.18,ok
1.119186929, Sport: ,Tennis, Time: ,Thu Jun 18 13:45:00 CEST 2015, Time: ,Thu Jun 18 13:45:00 CEST 2015, Event: ,Kudla v Mi Basic, Favorite: ,Denis Kudla, 4829260   size:7.32,Price: ,1.42,Mirza Basic, 5499167   size:2.9,Price: ,3.05,ok
1.119184310, Sport: ,Tennis, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,Halep v Koukalova, Favorite: ,Simona Halep, 4625563   size:8467.41,Price: ,1.25,Klara Koukalova, 8445700   size:21.17,Price: ,4.9,ok
1.118854986, Sport: ,Cricket, Time: ,Thu Jun 18 18:30:00 CEST 2015, Time: ,Thu Jun 18 18:30:00 CEST 2015, Event: ,Ireland v Scotland (1st T20), Favorite: ,Ireland, 152530   size:2.03,Price: ,1.41,Scotland, 152533   size:5.7,Price: ,3.25,x
1.119187179, Sport: ,Tennis, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,Ostapenko v Kontaveit, Favorite: ,Anett Kontaveit, 5300737   size:7.87,Price: ,1.65,Jelena Ostapenko, 8827537   size:2.55,Price: ,2.34,ok
1.119135137, Sport: ,Basketball, Time: ,Thu Jun 18 20:50:00 CEST 2015, Time: ,Thu Jun 18 20:50:00 CEST 2015, Event: ,Limoges v Strasbourg, Favorite: ,Limoges, 3817200   size:7.38,Price: ,1.73,Strasbourg, 1193143   size:45.79,Price: ,2.18,ok
1.119179157, Sport: ,Tennis, Time: ,Thu Jun 18 18:45:00 CEST 2015, Time: ,Thu Jun 18 18:45:00 CEST 2015, Event: ,Ma Cilic v Troicki, Favorite: ,Marin Cilic, 2263681   size:697.9,Price: ,1.58,Viktor Troicki, 2263624   size:113.35,Price: ,2.68,x
1.119130541, Sport: ,Baseball, Time: ,Thu Jun 18 19:10:00 CEST 2015, Time: ,Thu Jun 18 19:10:00 CEST 2015, Event: ,STL @ MIN, Favorite: ,St Louis (J Garcia), 3201713   size:546.0,Price: ,1.73,Minnesota (M Pelfrey), 7177264   size:4.2,Price: ,2.28,x
1.119130557, Sport: ,Baseball, Time: ,Thu Jun 18 21:35:00 CEST 2015, Time: ,Thu Jun 18 21:35:00 CEST 2015, Event: ,SD @ OAK, Favorite: ,Oakland (K Graveman), 9385645   size:4.99,Price: ,1.73,San Diego (I Kennedy), 7551799   size:104.0,Price: ,2.32,x
1.119178131, Sport: ,Tennis, Time: ,Thu Jun 18 18:00:00 CEST 2015, Time: ,Thu Jun 18 18:00:00 CEST 2015, Event: ,H Zeballos v Lamasine, Favorite: ,Horacio Zeballos, 3506037   size:9.1,Price: ,1.34,Tristan Lamasine, 8428332   size:10.92,Price: ,3.3,ok
1.119174253, Sport: ,Tennis, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,Travaglia v Ramirez Hidalgo, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:6.45,Price: ,1.36,Stefano Travaglia, 8477117   size:44.69,Price: ,3.2,ok
1.119178782, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Draganja/Kontinen v Bopanna/Mergea, Favorite: ,Bopanna/Mergea, 8890432   size:5.56,Price: ,1.58,Draganja/Kontinen, 8462597   size:14.3,Price: ,2.64,ok
1.119130549, Sport: ,Baseball, Time: ,Thu Jun 18 21:10:00 CEST 2015, Time: ,Thu Jun 18 21:10:00 CEST 2015, Event: ,HOU @ COL, Favorite: ,Houston (C McHugh), 8480882   size:66.0,Price: ,1.88,Colorado (D Hale), 9515546   size:313.0,Price: ,2.08,ok
1.119185178, Sport: ,Tennis, Time: ,Thu Jun 18 12:45:00 CEST 2015, Time: ,Thu Jun 18 12:45:00 CEST 2015, Event: ,Podlipnik-Castillo v Ignatik, Favorite: ,Uladzimir Ignatik, 3259323   size:3.6,Price: ,1.61,Hans Podlipnik-Castillo, 8461633   size:56.71,Price: ,2.5,x
1.119162452, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Dellacqua/Mirza v Chan/Zheng, Favorite: ,Dellacqua/Mirza, 9610061   size:91.82,Price: ,1.4,Chan/Zheng, 8461906   size:177.41,Price: ,1.67,x
1.119162454, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Hlavackova/Hradecka v Rae/Smith, Favorite: ,Hlavackova/Hradecka, 4470757   size:2.55,Price: ,1.31,Rae/Smith, 8621531   size:2.55,Price: ,3.3,ok
1.119121383, Sport: ,Basketball, Time: ,Thu Jun 18 20:00:00 CEST 2015, Time: ,Thu Jun 18 20:00:00 CEST 2015, Event: ,Cayman Islands v St Vincent Grenadines, Favorite: ,St Vincent Grenadines, 4846292   size:4.99,Price: ,1.03,ok
