1.121866333, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Atletico Baleares v Reus Deportiu, Favorite: ,Atletico Baleares, 3303611   size:42.77,Price: ,2.72,Reus Deportiu, 4136691   size:12.55,Price: ,2.76,The Draw, 58805   size:5.16,Price: ,3.3,x
1.121788888, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Atletico MG v Goias, Favorite: ,Atletico MG, 361329   size:483.71,Price: ,1.58,Goias, 198131   size:342.37,Price: ,6.4,The Draw, 58805   size:69.57,Price: ,4.5,x
1.121949742, Sport: ,Soccer, Time: ,Sun Nov 22 11:30:00 CET 2015, Time: ,Sun Nov 22 11:30:00 CET 2015, Event: ,Trival Valderas v CD Puerta Bonita, Favorite: ,Trival Valderas, 5924333   size:33.53,Price: ,1.1,CD Puerta Bonita, 9339205   size:50.31,Price: ,1.65,The Draw, 58805   size:5.62,Price: ,2.94,ok
1.121948532, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,CD Cristo Atletico v CD La Virgin del Camino, Favorite: ,CD Cristo Atletico, 8278815   size:4.82,Price: ,1.07,CD La Virgin del Camino, 9397041   size:4.82,Price: ,1.07,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121866331, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Cornella v Hercules, Favorite: ,Cornella, 8792394   size:28.68,Price: ,2.78,Hercules, 248015   size:38.92,Price: ,2.84,The Draw, 58805   size:2.85,Price: ,3.15,x
1.121925514, Sport: ,Ice Hockey, Time: ,Sun Nov 22 19:05:00 CET 2015, Time: ,Sun Nov 22 19:05:00 CET 2015, Event: ,Los Angeles @ Carolina, Favorite: ,Los Angeles, 2112286   size:2.97,Price: ,2.14,Carolina, 2108027   size:2.26,Price: ,3.0,Tie, 60104   size:4.4,Price: ,3.95,x
1.121743615, Sport: ,American Football, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Denver @ Chicago, Favorite: ,Denver Broncos, 50211   size:177.05,Price: ,1.88,Chicago Bears, 50194   size:61.17,Price: ,2.1,ok
1.121945268, Sport: ,Soccer, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Al Kharitiyath v Al Sadd (QAT), Favorite: ,Al Sadd (QAT), 4525676   size:4.82,Price: ,1.42,Al Kharitiyath, 6658915   size:6.28,Price: ,5.3,The Draw, 58805   size:16.73,Price: ,3.9,ok
1.121937851, Sport: ,Basketball, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Reggio Emilia v Trento, Favorite: ,Reggio Emilia, 958950   size:312.0,Price: ,1.32,Trento, 8782954   size:15.65,Price: ,3.65,ok
1.121738251, Sport: ,Soccer, Time: ,Sun Nov 22 15:00:00 CET 2015, Time: ,Sun Nov 22 15:00:00 CET 2015, Event: ,Atalanta v Torino, Favorite: ,Atalanta, 215817   size:4.2,Price: ,2.66,Torino, 44503   size:875.22,Price: ,3.0,The Draw, 58805   size:3296.89,Price: ,3.3,x
1.121937855, Sport: ,Basketball, Time: ,Sun Nov 22 18:15:00 CET 2015, Time: ,Sun Nov 22 18:15:00 CET 2015, Event: ,Torino v Orlandina, Favorite: ,Torino, 10369578   size:7.55,Price: ,1.52,Orlandina, 2513380   size:2.55,Price: ,2.6,x
