1.121880266, Sport: ,Soccer, Time: ,Fri Nov 20 13:30:00 CET 2015, Time: ,Fri Nov 20 13:30:00 CET 2015, Event: ,Al Jalil v Al Aqaba, Favorite: ,Al Jalil, 5650175   size:69.66,Price: ,1.13,Al Aqaba, 10255128   size:69.66,Price: ,1.13,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121883774, Sport: ,Tennis, Time: ,Fri Nov 20 05:15:00 CET 2015, Time: ,Fri Nov 20 05:15:00 CET 2015, Event: ,Kudryavtsev v T Daniel, Favorite: ,Taro Daniel, 8173434   size:103.92,Price: ,1.52,Alexander Kudryavtsev, 5908538   size:24.99,Price: ,2.5,ok
1.121880542, Sport: ,Soccer, Time: ,Fri Nov 20 15:30:00 CET 2015, Time: ,Fri Nov 20 15:30:00 CET 2015, Event: ,Khaitan v Yarmouk (KUW), Favorite: ,Yarmouk (KUW), 9274400   size:10.55,Price: ,1.91,Khaitan, 9359990   size:10.55,Price: ,2.06,The Draw, 58805   size:18.76,Price: ,3.25,x
1.121861321, Sport: ,Basketball, Time: ,Fri Nov 20 02:00:00 CET 2015, Time: ,Fri Nov 20 02:00:00 CET 2015, Event: ,Stony Brook @ Vanderbilt, Favorite: ,Stony Brook, 728491   size:2.85,Price: ,1.03,Vanderbilt, 701625   size:2.85,Price: ,1.03,x
1.121867141, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Desna v FC Poltava, Favorite: ,Desna, 6666581   size:3.76,Price: ,2.28,FC Poltava, 4115367   size:3.8,Price: ,2.86,The Draw, 58805   size:4.45,Price: ,3.25,ok
1.121872249, Sport: ,Ice Hockey, Time: ,Fri Nov 20 10:30:00 CET 2015, Time: ,Fri Nov 20 10:30:00 CET 2015, Event: ,Amur v Sibir, Favorite: ,Sibir, 2285014   size:36.95,Price: ,2.14,Amur, 2240061   size:26.17,Price: ,3.15,Tie, 60104   size:55.0,Price: ,4.0,x
1.121879765, Sport: ,Soccer, Time: ,Fri Nov 20 02:00:00 CET 2015, Time: ,Fri Nov 20 02:00:00 CET 2015, Event: ,CD Platense v CD Olimpia, Favorite: ,The Draw, 58805   size:55.0,Price: ,1.83,CD Platense, 9282715   size:65.0,Price: ,2.1,CD Olimpia, 1395933   size:55.0,Price: ,2.2,x
1.121881446, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Sanatatea Cluj v Unirea Jocu, Favorite: ,Sanatatea Cluj, 4189799   size:10.0,Price: ,1.12,Unirea Jocu, 8858320   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121881721, Sport: ,Soccer, Time: ,Fri Nov 20 15:50:00 CET 2015, Time: ,Fri Nov 20 15:50:00 CET 2015, Event: ,Al-Faisaly (KSA) v Al-Raed (KSA), Favorite: ,Al-Faisaly (KSA), 7899434   size:2.55,Price: ,2.24,Al-Raed (KSA), 6818039   size:10.55,Price: ,2.52,The Draw, 58805   size:18.76,Price: ,2.98,x
1.121835904, Sport: ,Soccer, Time: ,Fri Nov 20 14:00:00 CET 2015, Time: ,Fri Nov 20 14:00:00 CET 2015, Event: ,Tosno v Arsenal Tula, Favorite: ,Arsenal Tula, 7402112   size:2.79,Price: ,1.97,Tosno, 7870887   size:3.97,Price: ,3.6,The Draw, 58805   size:2.55,Price: ,3.4,ok
