1.122725530, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,El Palo v Alhaurin de la Torre CF, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,El Palo, 6347442   size:27.76,Price: ,1.02,Alhaurin de la Torre CF, 9320417   size:27.76,Price: ,1.02
1.122725553, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,Espinardo Atletico v Huercal-Overa CF, Favorite: ,Espinardo Atletico, 10215484   size:66.02,Price: ,1.94,Huercal-Overa CF, 8480091   size:29.34,Price: ,3.25,The Draw, 58805   size:30.0,Price: ,3.2
1.122725555, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,SD Oyonesa v CD Agoncillo, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,SD Oyonesa, 8439465   size:27.76,Price: ,1.02,CD Agoncillo, 8321252   size:27.76,Price: ,1.02
1.122669013, Sport: ,Ice Hockey, Time: ,Sun Jan 24 18:30:00 CET 2016, Time: ,Sun Jan 24 18:30:00 CET 2016, Event: ,Pittsburgh @ Washington, Favorite: ,Pittsburgh, 2115995   size:3.0,Price: ,1.6,Washington, 2109756   size:3.0,Price: ,1.6,Tie, 60104   size:3.0,Price: ,2.0
1.122680054, Sport: ,Basketball, Time: ,Sun Jan 24 19:00:00 CET 2016, Time: ,Sun Jan 24 19:00:00 CET 2016, Event: ,KK Sutjeska v Mega Vizura, Favorite: ,Mega Vizura, 7735104   size:30.56,Price: ,1.49,KK Sutjeska, 9029075   size:25.12,Price: ,2.68
1.122694573, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Le Mans Sarthe Basket v Paris-Levallois, Favorite: ,Le Mans Sarthe Basket, 8996824   size:6.83,Price: ,1.03,Paris-Levallois, 4275965   size:6.83,Price: ,1.03
1.122694575, Sport: ,Basketball, Time: ,Sat Jan 23 20:30:00 CET 2016, Time: ,Sat Jan 23 20:30:00 CET 2016, Event: ,Saint-Quentin Basket-Ba v SLUC Nancy, Favorite: ,Saint-Quentin Basket-Ba, 10311985   size:6.83,Price: ,1.03,SLUC Nancy, 2585923   size:6.83,Price: ,1.03
1.122678983, Sport: ,Basketball, Time: ,Sat Jan 23 20:30:00 CET 2016, Time: ,Sat Jan 23 20:30:00 CET 2016, Event: ,ACBD Rio Claro v Macae Basquete, Favorite: ,ACBD Rio Claro, 8998174   size:6.83,Price: ,1.03,Macae Basquete, 8968340   size:6.83,Price: ,1.03
1.122680085, Sport: ,Basketball, Time: ,Sat Jan 23 20:30:00 CET 2016, Time: ,Sat Jan 23 20:30:00 CET 2016, Event: ,Sheffield Sharks v Leeds Force, Favorite: ,Sheffield Sharks, 390441   size:3.18,Price: ,1.02,Leeds Force, 8892083   size:6.83,Price: ,1.03
1.122584522, Sport: ,Soccer, Time: ,Sat Jan 23 20:30:00 CET 2016, Time: ,Sat Jan 23 20:30:00 CET 2016, Event: ,San Jose v Sport Boys (Bol), Favorite: ,San Jose, 171908   size:53.87,Price: ,1.72,Sport Boys (Bol), 7587365   size:2.64,Price: ,5.7,The Draw, 58805   size:29.71,Price: ,3.9
