1.121119471, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Desna v Sumy, Favorite: ,Desna, 6666581   size:4.0,Price: ,1.98,Sumy, 5831289   size:2.55,Price: ,3.25,The Draw, 58805   size:3.97,Price: ,2.92,ok
1.121068634, Sport: ,Rugby Union, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,Free State Cheetahs v Sharks, Favorite: ,Sharks, 20878   size:3.31,Price: ,1.86,Free State Cheetahs, 58524   size:5.46,Price: ,2.18,Draw, 246289   size:54.33,Price: ,14.0,x
1.121152058, Sport: ,Basketball, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Koroivos v Trikala, Favorite: ,Koroivos, 8895006   size:2.55,Price: ,1.35,Trikala, 3315196   size:2.55,Price: ,1.35,x
1.121152054, Sport: ,Basketball, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Kavala v Lavrio, Favorite: ,Kavala, 3350797   size:2.55,Price: ,1.26,Lavrio, 10398321   size:2.55,Price: ,1.26,ok
1.121068632, Sport: ,Rugby Union, Time: ,Sat Oct 10 16:05:00 CEST 2015, Time: ,Sat Oct 10 16:05:00 CEST 2015, Event: ,Golden Lions v Griquas, Favorite: ,Golden Lions, 1167243   size:2.59,Price: ,1.17,Griquas, 483857   size:3.62,Price: ,5.9,Draw, 246289   size:2.59,Price: ,32.0,ok
1.121101534, Sport: ,Handball, Time: ,Sat Oct 10 20:15:00 CEST 2015, Time: ,Sat Oct 10 20:15:00 CEST 2015, Event: ,Fyr Macedonia (W) v Croatia (W), Favorite: ,FYR Macedonia (W), 10389167   size:102.43,Price: ,1.01,Croatia (W), 6257930   size:102.43,Price: ,1.01,Draw, 330157   size:102.43,Price: ,1.01,x
1.121103951, Sport: ,Soccer, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,UCAM Murcia v FC Cartagena, Favorite: ,UCAM Murcia, 5778410   size:6.23,Price: ,2.12,FC Cartagena, 5740008   size:7.55,Price: ,4.3,The Draw, 58805   size:17.81,Price: ,3.05,ok
1.121038372, Sport: ,Soccer, Time: ,Sun Oct 11 01:30:00 CEST 2015, Time: ,Sun Oct 11 01:30:00 CEST 2015, Event: ,Tampa Bay Rowdies v Ottawa Fury, Favorite: ,Ottawa Fury, 8441973   size:2.74,Price: ,2.24,Tampa Bay Rowdies, 6295051   size:14.39,Price: ,3.3,The Draw, 58805   size:22.75,Price: ,3.2,x
1.121146965, Sport: ,Soccer, Time: ,Sat Oct 10 20:00:00 CEST 2015, Time: ,Sat Oct 10 20:00:00 CEST 2015, Event: ,Barracas Central v Deportivo Merlo, Favorite: ,Barracas Central, 5408226   size:2.45,Price: ,2.04,Deportivo Merlo, 5181458   size:3.95,Price: ,3.9,The Draw, 58805   size:4.14,Price: ,3.05,x
1.121157643, Sport: ,Tennis, Time: ,Sat Oct 10 10:16:00 CEST 2015, Time: ,Sat Oct 10 10:16:00 CEST 2015, Event: ,N Kichenok v S Xu, Favorite: ,Shilin Xu, 8172571   size:2.69,Price: ,1.72,Nadiia Kichenok, 8595953   size:2.69,Price: ,2.2,x
1.121109135, Sport: ,Ice Hockey, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Heinolan Peliitat v Jukurit, Favorite: ,Jukurit, 272756   size:134.76,Price: ,1.81,Heinolan Peliitat, 6022874   size:5.72,Price: ,3.25,Tie, 60104   size:108.67,Price: ,4.1,ok
1.121157646, Sport: ,Tennis, Time: ,Sat Oct 10 09:54:00 CEST 2015, Time: ,Sat Oct 10 09:54:00 CEST 2015, Event: ,Bychkova v K Okamura, Favorite: ,Ekaterina Bychkova, 2263611   size:42.44,Price: ,1.05,Kyoka Okamura, 8887170   size:160.39,Price: ,1.67,ok
1.121157647, Sport: ,Tennis, Time: ,Sat Oct 10 09:47:00 CEST 2015, Time: ,Sat Oct 10 09:47:00 CEST 2015, Event: ,S Zhang v Yi Zhang, Favorite: ,Shuai Zhang, 2386498   size:1820.3,Price: ,1.04,Ying Zhang, 8943899   size:2.0,Price: ,1.1,ok
1.121187273, Sport: ,Tennis, Time: ,Sat Oct 10 09:43:00 CEST 2015, Time: ,Sat Oct 10 09:43:00 CEST 2015, Event: ,Ivashka v Resnyanskiy, Favorite: ,Ilya Ivashka, 8304047   size:100.0,Price: ,1.02,Dmitry Resnyanskiy, 9453420   size:2.0,Price: ,1.1,ok
1.121090102, Sport: ,American Football, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,New Mexico State @ Ole Miss, Favorite: ,New Mexico State, 602741   size:5.12,Price: ,1.01,Ole Miss, 4385068   size:5.12,Price: ,1.01,x
1.121017787, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Egersund v Vard Haugesund, Favorite: ,Egersund, 3876624   size:2.72,Price: ,1.84,Vard Haugesund, 398340   size:3.94,Price: ,3.6,The Draw, 58805   size:3.74,Price: ,4.2,x
1.121092963, Sport: ,Basketball, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,Gaziantep v Darussafaka, Favorite: ,Darussafaka, 631285   size:184.99,Price: ,1.27,Gaziantep, 6721681   size:17.0,Price: ,4.0,ok
1.121017785, Sport: ,Soccer, Time: ,Sat Oct 10 13:00:00 CEST 2015, Time: ,Sat Oct 10 13:00:00 CEST 2015, Event: ,Odd II v Eidsvold, Favorite: ,Odd II, 8442605   size:133.42,Price: ,1.06,Eidsvold, 398329   size:133.42,Price: ,1.06,The Draw, 58805   size:2.56,Price: ,1.39,ok
1.121038482, Sport: ,Soccer, Time: ,Sun Oct 11 01:30:00 CEST 2015, Time: ,Sun Oct 11 01:30:00 CEST 2015, Event: ,Indy Eleven v San Antonio Scorpions, Favorite: ,Indy Eleven, 8441182   size:2.7,Price: ,2.28,San Antonio Scorpions, 6334069   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121070975, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,MKS Kluczbork v Olimpia Grudziadz, Favorite: ,MKS Kluczbork, 4135270   size:5.0,Price: ,2.56,Olimpia Grudziadz, 4135268   size:7.95,Price: ,3.1,The Draw, 58805   size:16.03,Price: ,3.35,ok
1.121017789, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Fana v Vidar, Favorite: ,Vidar, 398339   size:2.67,Price: ,2.3,Fana, 168739   size:2.46,Price: ,2.5,The Draw, 58805   size:3.51,Price: ,3.8,x
1.121147846, Sport: ,Soccer, Time: ,Sat Oct 10 23:00:00 CEST 2015, Time: ,Sat Oct 10 23:00:00 CEST 2015, Event: ,Curico Unido v Iberia, Favorite: ,Curico Unido, 5429246   size:2.48,Price: ,2.02,Iberia, 9935277   size:4.13,Price: ,3.4,The Draw, 58805   size:7.67,Price: ,3.2,x
1.121103944, Sport: ,Soccer, Time: ,Sat Oct 10 17:00:00 CEST 2015, Time: ,Sat Oct 10 17:00:00 CEST 2015, Event: ,San Roque v Betis B, Favorite: ,San Roque, 4136688   size:10.0,Price: ,1.98,Betis B, 2522844   size:11.87,Price: ,4.3,The Draw, 58805   size:2.55,Price: ,3.35,x
1.121119250, Sport: ,Soccer, Time: ,Sat Oct 10 14:30:00 CEST 2015, Time: ,Sat Oct 10 14:30:00 CEST 2015, Event: ,MFC Mykolaiv v Cherkaskyi Dnipro, Favorite: ,Cherkaskyi Dnipro, 8792403   size:7.99,Price: ,2.06,MFC Mykolaiv, 7649755   size:85.15,Price: ,2.3,The Draw, 58805   size:15.78,Price: ,3.05,x
1.121140098, Sport: ,Handball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Barcelona v Montpellier, Favorite: ,Barcelona, 2324955   size:67.38,Price: ,1.03,Montpellier, 3379953   size:31.01,Price: ,12.0,Draw, 330157   size:27.25,Price: ,14.0,ok
1.121070863, Sport: ,Soccer, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,GKS Katowice v Stomil Olsztyn, Favorite: ,GKS Katowice, 3351396   size:17.58,Price: ,2.06,Stomil Olsztyn, 7449117   size:8.08,Price: ,3.95,The Draw, 58805   size:8.22,Price: ,3.5,x
1.121017783, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Portadown v Ballymena, Favorite: ,Portadown, 180586   size:85.23,Price: ,1.73,Ballymena, 539985   size:7.55,Price: ,4.7,The Draw, 58805   size:6.99,Price: ,4.2,ok
