1.121719835, Sport: ,Tennis, Time: ,Sun Nov 08 13:00:00 CET 2015, Time: ,Sun Nov 08 13:00:00 CET 2015, Event: ,Gerasimov v Veger, Favorite: ,Egor Gerasimov, 7797772   size:41.55,Price: ,1.08,Filip Veger, 7032182   size:6.05,Price: ,1.13,ok
1.121586099, Sport: ,Soccer, Time: ,Sun Nov 08 14:00:00 CET 2015, Time: ,Sun Nov 08 14:00:00 CET 2015, Event: ,Oldenburg v Hamburg II, Favorite: ,Oldenburg, 5699221   size:34.56,Price: ,1.8,Hamburg II, 5375314   size:5.33,Price: ,4.7,The Draw, 58805   size:56.28,Price: ,3.75,ok
1.121718743, Sport: ,Tennis, Time: ,Sun Nov 08 10:30:00 CET 2015, Time: ,Sun Nov 08 10:30:00 CET 2015, Event: ,Rijthoven v Johnson, Favorite: ,Tim Van Rijthoven, 8681938   size:2.55,Price: ,1.18,Eric James Johnson, 10487440   size:5.58,Price: ,1.33,x
1.121695373, Sport: ,Basketball, Time: ,Sun Nov 08 20:00:00 CET 2015, Time: ,Sun Nov 08 20:00:00 CET 2015, Event: ,Slask Wroclaw v Siden Torun, Favorite: ,Siden Torun, 8832718   size:91.14,Price: ,1.75,Slask Wroclaw, 272970   size:2.55,Price: ,2.12,ok
1.121573903, Sport: ,Bowls, Time: ,Sun Nov 08 12:00:00 CET 2015, Time: ,Sun Nov 08 12:00:00 CET 2015, Event: ,Harlow v Poto, Favorite: ,Greg Harlow, 2266400   size:3.0,Price: ,1.01,Carol Poto, 10475348   size:3.0,Price: ,1.01,ok
1.121703482, Sport: ,Soccer, Time: ,Sun Nov 08 16:05:00 CET 2015, Time: ,Sun Nov 08 16:05:00 CET 2015, Event: ,Estudiantes de Caseros v Barracas Central, Favorite: ,Estudiantes de Caseros, 7546748   size:4.2,Price: ,1.69,Barracas Central, 5408226   size:7.01,Price: ,4.9,The Draw, 58805   size:3.14,Price: ,3.15,x
1.121586092, Sport: ,Soccer, Time: ,Sun Nov 08 15:00:00 CET 2015, Time: ,Sun Nov 08 15:00:00 CET 2015, Event: ,Biel-Bienne v Wohlen, Favorite: ,Biel-Bienne, 6494650   size:14.43,Price: ,2.2,Wohlen, 457844   size:25.84,Price: ,3.45,The Draw, 58805   size:5.0,Price: ,3.65,x
1.121627441, Sport: ,Soccer, Time: ,Sun Nov 08 20:00:00 CET 2015, Time: ,Sun Nov 08 20:00:00 CET 2015, Event: ,Envigado v Patriotas, Favorite: ,Envigado, 5180320   size:2.73,Price: ,2.18,Patriotas, 5360525   size:4.62,Price: ,3.65,The Draw, 58805   size:2.73,Price: ,3.4,x
1.121718629, Sport: ,Tennis, Time: ,Sun Nov 08 16:45:00 CET 2015, Time: ,Sun Nov 08 16:45:00 CET 2015, Event: ,Hanfmann v Luncanu, Favorite: ,Yannick Hanfmann, 8639275   size:2.97,Price: ,1.1,Petru-Alexandru Luncanu, 8476477   size:2.55,Price: ,1.43,ok
1.121710907, Sport: ,Soccer, Time: ,Sun Nov 08 13:00:00 CET 2015, Time: ,Sun Nov 08 13:00:00 CET 2015, Event: ,GKS Belchatow U19 v UKS SMS Lodz U19, Favorite: ,UKS SMS Lodz U19, 7204857   size:5.0,Price: ,1.11,GKS Belchatow U19, 7583332   size:5.92,Price: ,2.12,The Draw, 58805   size:5.0,Price: ,2.98,ok
