1.121187931, Sport: ,Tennis, Time: ,Sun Oct 11 20:45:00 CEST 2015, Time: ,Sun Oct 11 20:45:00 CEST 2015, Event: ,Moncada v Kestelboim, Favorite: ,Mariano Kestelboim, 9630793   size:152.33,Price: ,1.01,Juan Cruz Moncada, 9630489   size:2.69,Price: ,26.0,ok
1.121187910, Sport: ,Tennis, Time: ,Sat Oct 10 20:45:00 CEST 2015, Time: ,Sat Oct 10 20:45:00 CEST 2015, Event: ,Berlocq v Dutra Silva, Favorite: ,Carlos Berlocq, 2283676   size:7.5,Price: ,1.62,Rogerio Dutra Silva, 2301068   size:7.0,Price: ,2.48,ok
1.120682647, Sport: ,Cricket, Time: ,Sun Oct 11 09:30:00 CEST 2015, Time: ,Sun Oct 11 09:30:00 CEST 2015, Event: ,Zimbabwe v Ireland (2nd ODI), Favorite: ,Zimbabwe, 1006   size:54.43,Price: ,1.68,Ireland, 152530   size:66.84,Price: ,2.32,ok
1.121187930, Sport: ,Tennis, Time: ,Sun Oct 11 17:15:00 CEST 2015, Time: ,Sun Oct 11 17:15:00 CEST 2015, Event: ,Capalbo v Makiguchi, Favorite: ,Ryusei Makiguchi, 8490864   size:2.55,Price: ,1.16,Franco Capalbo, 9632691   size:2.55,Price: ,5.2,ok
1.121114611, Sport: ,Ice Hockey, Time: ,Sun Oct 11 04:05:00 CEST 2015, Time: ,Sun Oct 11 04:05:00 CEST 2015, Event: ,Calgary @ Vancouver, Favorite: ,Vancouver, 2109691   size:101.0,Price: ,2.2,Calgary, 975675   size:16.13,Price: ,3.1,Tie, 60104   size:336.0,Price: ,4.1,x
1.121187936, Sport: ,Tennis, Time: ,Sun Oct 11 15:30:00 CEST 2015, Time: ,Sun Oct 11 15:30:00 CEST 2015, Event: ,M Cuevas v M Castro, Favorite: ,Martin Cuevas, 8326736   size:6.92,Price: ,1.07,Matias Castro, 8505874   size:3.94,Price: ,11.0,ok
1.121114554, Sport: ,Ice Hockey, Time: ,Sun Oct 11 01:05:00 CEST 2015, Time: ,Sun Oct 11 01:05:00 CEST 2015, Event: ,Ottawa @ Toronto, Favorite: ,Ottawa, 2108072   size:29.38,Price: ,2.22,Toronto, 2108073   size:473.0,Price: ,3.0,Tie, 60104   size:110.38,Price: ,4.1,x
1.121114595, Sport: ,Ice Hockey, Time: ,Sun Oct 11 02:05:00 CEST 2015, Time: ,Sun Oct 11 02:05:00 CEST 2015, Event: ,St Louis @ Minnesota, Favorite: ,Minnesota, 2109894   size:10.72,Price: ,2.38,St Louis, 2110000   size:476.81,Price: ,2.76,Tie, 60104   size:271.0,Price: ,3.85,ok
1.121187934, Sport: ,Tennis, Time: ,Sun Oct 11 17:15:00 CEST 2015, Time: ,Sun Oct 11 17:15:00 CEST 2015, Event: ,Villanueva v Espin Busleiman, Favorite: ,Gonzalo Villanueva, 9042439   size:253.03,Price: ,1.06,Geronimo Espin Busleima, 9629977   size:2.69,Price: ,9.0,ok
1.120662313, Sport: ,Boxing, Time: ,Sat Oct 10 21:00:00 CEST 2015, Time: ,Sat Oct 10 21:00:00 CEST 2015, Event: ,Smith v Thompson, Favorite: ,Liam Smith, 7663200   size:11.81,Price: ,1.4,John Thompson, 9385491   size:11.65,Price: ,3.7,Draw, 31162   size:5.17,Price: ,36.0,ok
1.121114616, Sport: ,Ice Hockey, Time: ,Sun Oct 11 04:05:00 CEST 2015, Time: ,Sun Oct 11 04:05:00 CEST 2015, Event: ,Pittsburgh @ Arizona, Favorite: ,Pittsburgh, 2115995   size:62.18,Price: ,1.93,Arizona, 8867880   size:109.0,Price: ,3.5,Tie, 60104   size:97.0,Price: ,4.2,x
1.121114516, Sport: ,Ice Hockey, Time: ,Sun Oct 11 01:05:00 CEST 2015, Time: ,Sun Oct 11 01:05:00 CEST 2015, Event: ,Montreal @ Boston, Favorite: ,Montreal, 2112345   size:308.0,Price: ,2.42,Boston, 2112316   size:112.79,Price: ,2.78,Tie, 60104   size:526.48,Price: ,3.8,ok
1.121187943, Sport: ,Tennis, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Monzon v O Gutierrez, Favorite: ,Oscar Jose Gutierrez, 8443401   size:2.55,Price: ,1.08,Ignacio Monzon, 9635380   size:2.69,Price: ,9.0,ok
1.121114600, Sport: ,Ice Hockey, Time: ,Sun Oct 11 02:35:00 CEST 2015, Time: ,Sun Oct 11 02:35:00 CEST 2015, Event: ,NY Islanders @ Chicago, Favorite: ,Chicago, 2109831   size:97.0,Price: ,2.22,NY Islanders, 60105   size:9.36,Price: ,3.1,Tie, 60104   size:95.99,Price: ,4.2,ok
1.121154414, Sport: ,Soccer, Time: ,Sat Oct 10 20:00:00 CEST 2015, Time: ,Sat Oct 10 20:00:00 CEST 2015, Event: ,CD Laredo v Racing Santander B, Favorite: ,Racing Santander B, 9493037   size:38.88,Price: ,1.34,CD Laredo, 67374,ok
1.121103949, Sport: ,Soccer, Time: ,Sun Oct 11 11:30:00 CEST 2015, Time: ,Sun Oct 11 11:30:00 CEST 2015, Event: ,Sevilla B v Villanovense, Favorite: ,Sevilla B, 6603999   size:8.49,Price: ,2.02,Villanovense, 2250365   size:5.23,Price: ,4.5,The Draw, 58805   size:2.55,Price: ,3.2,ok
