1.119388392, Sport: ,Cricket, Time: ,Mon Jul 13 11:00:00 CEST 2015, Time: ,Mon Jul 13 11:00:00 CEST 2015, Event: ,Namibia v USA, Favorite: ,Namibia, 144199   size:559.96,Price: ,1.46,USA, 891555   size:15.98,Price: ,3.0,ok
1.119480304, Sport: ,Tennis, Time: ,Mon Jul 13 14:00:00 CEST 2015, Time: ,Mon Jul 13 14:00:00 CEST 2015, Event: ,Siniakova v Beygelzimer, Favorite: ,Katerina Siniakova, 7137442   size:4.81,Price: ,1.28,Yuliya Beygelzimer, 3674505   size:239.44,Price: ,4.1,ok
1.119480048, Sport: ,Tennis, Time: ,Mon Jul 13 14:30:00 CEST 2015, Time: ,Mon Jul 13 14:30:00 CEST 2015, Event: ,Klepac/Krunic v Strakhova/Vasylyeva, Favorite: ,Klepac/Krunic, 9946219   size:6.41,Price: ,1.29,Strakhova/Vasylyeva, 9946220   size:2.55,Price: ,3.9,ok
1.119482369, Sport: ,Soccer, Time: ,Mon Jul 13 18:00:00 CEST 2015, Time: ,Mon Jul 13 18:00:00 CEST 2015, Event: ,SSD Verbania v QPR U21, Favorite: ,QPR U21, 6808103   size:4.67,Price: ,1.32,The Draw, 58805   size:4.33,Price: ,3.65,SSD Verbania, 9948269   size:6.55,Price: ,4.2,ok
1.119478558, Sport: ,Basketball, Time: ,Mon Jul 13 14:15:00 CEST 2015, Time: ,Mon Jul 13 14:15:00 CEST 2015, Event: ,Croatia v Great Britain, Favorite: ,Great Britain, 2517207   size:12.52,Price: ,1.01,ok
1.119370436, Sport: ,Soccer, Time: ,Mon Jul 13 21:15:00 CEST 2015, Time: ,Mon Jul 13 21:15:00 CEST 2015, Event: ,Leiknir R v Keflavik, Favorite: ,Leiknir R, 4744864   size:10.62,Price: ,2.24,Keflavik, 808414   size:17.49,Price: ,3.35,The Draw, 58805   size:102.75,Price: ,3.7,x
1.119370578, Sport: ,Soccer, Time: ,Mon Jul 13 17:30:00 CEST 2015, Time: ,Mon Jul 13 17:30:00 CEST 2015, Event: ,FC Inter v IFK Mariehamn, Favorite: ,FC Inter, 139505   size:83.06,Price: ,2.52,IFK Mariehamn, 1099216   size:38.84,Price: ,3.15,The Draw, 58805   size:661.4,Price: ,3.45,x
1.119482301, Sport: ,Tennis, Time: ,Mon Jul 13 12:30:00 CEST 2015, Time: ,Mon Jul 13 12:30:00 CEST 2015, Event: ,Lim v Pous-Tio, Favorite: ,Laura Pous-Tio, 8443238   size:2.54,Price: ,1.53,x
1.119487217, Sport: ,Tennis, Time: ,Mon Jul 13 18:45:00 CEST 2015, Time: ,Mon Jul 13 18:45:00 CEST 2015, Event: ,Klein v Bossel, Favorite: ,Brydan Klein, 2759763   size:77.47,Price: ,1.49,Adrien Bossel, 7364079   size:4.01,Price: ,2.9,x
1.119480307, Sport: ,Tennis, Time: ,Mon Jul 13 14:00:00 CEST 2015, Time: ,Mon Jul 13 14:00:00 CEST 2015, Event: ,Bertens v Barthel, Favorite: ,Kiki Bertens, 5611697   size:122.5,Price: ,1.83,Mona Barthel, 5056975   size:5.86,Price: ,2.18,x
1.119476371, Sport: ,Tennis, Time: ,Mon Jul 13 17:30:00 CEST 2015, Time: ,Mon Jul 13 17:30:00 CEST 2015, Event: ,Gojowczyk v Safwat, Favorite: ,Peter Gojowczyk, 4691416   size:4.98,Price: ,1.55,Mohamed Safwat, 6948116   size:3.35,Price: ,2.54,ok
1.119481026, Sport: ,Tennis, Time: ,Mon Jul 13 15:30:00 CEST 2015, Time: ,Mon Jul 13 15:30:00 CEST 2015, Event: ,Chan/Chan v Rodina/Vogt, Favorite: ,Chan/Chan, 2035578   size:9.7,Price: ,1.25,Rodina/Vogt, 9946919   size:7.25,Price: ,3.25,ok
1.119425313, Sport: ,Basketball, Time: ,Tue Jul 14 00:00:00 CEST 2015, Time: ,Tue Jul 14 00:00:00 CEST 2015, Event: ,Dallas v Atlanta, Favorite: ,Atlanta, 13114   size:2.78,Price: ,1.02,x
1.119369210, Sport: ,Soccer, Time: ,Mon Jul 13 18:00:00 CEST 2015, Time: ,Mon Jul 13 18:00:00 CEST 2015, Event: ,Tulevik Viljandi v Flora Tallinn, Favorite: ,Flora Tallinn, 180590   size:18.51,Price: ,1.41,The Draw, 58805   size:4.01,Price: ,4.6,Tulevik Viljandi, 6242675   size:4.98,Price: ,7.8,ok
