1.121780056, Sport: ,Handball, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Rostov Don v Larvik, Favorite: ,Rostov Don, 5814974   size:2.83,Price: ,1.03,Larvik, 528704   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.04,ok
1.121725270, Sport: ,Rugby Union, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,London Irish v Agen, Favorite: ,London Irish, 2734858   size:3.23,Price: ,1.04,Agen, 690999   size:113.75,Price: ,8.2,Draw, 246289   size:24.74,Price: ,46.0,ok
1.121676622, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Slovan Liberec v Zlin, Favorite: ,Slovan Liberec, 10503   size:140.52,Price: ,1.57,Zlin, 367580   size:31.54,Price: ,6.8,The Draw, 58805   size:11.9,Price: ,4.3,ok
1.121725274, Sport: ,Rugby Union, Time: ,Sat Nov 14 16:15:00 CET 2015, Time: ,Sat Nov 14 16:15:00 CET 2015, Event: ,Gloucester v Zebre, Favorite: ,Gloucester, 168   size:12.47,Price: ,1.05,Zebre, 6488007   size:114.33,Price: ,11.0,Draw, 246289   size:24.68,Price: ,60.0,ok
1.121834158, Sport: ,Tennis, Time: ,Sat Nov 14 15:45:00 CET 2015, Time: ,Sat Nov 14 15:45:00 CET 2015, Event: ,Arus v Collarini, Favorite: ,Rodrigo Arus, 9001383   size:8.36,Price: ,1.04,Andrea Collarini, 8284716   size:8.36,Price: ,1.04,x
1.121675779, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,SC Wiedenbruck v Wattenscheid, Favorite: ,Wattenscheid, 498547   size:27.61,Price: ,2.58,SC Wiedenbruck, 4064040   size:5.0,Price: ,2.84,The Draw, 58805   size:5.0,Price: ,3.7,x
1.121834154, Sport: ,Tennis, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Juan  Galarza v Ficovich, Favorite: ,Juan Ignacio Galarza, 8979626   size:8.36,Price: ,1.04,Juan Pablo Ficovich, 8908205   size:4.18,Price: ,1.08,ok
1.121766669, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Shinshu Nagano v Akita, Favorite: ,Akita, 6736955   size:6.04,Price: ,1.35,Shinshu Nagano, 6736962   size:6.04,Price: ,2.98,ok
1.121799219, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Lucko v Zadar, Favorite: ,Lucko, 5611652   size:6.5,Price: ,1.47,Zadar, 497968   size:15.86,Price: ,4.8,The Draw, 58805   size:2.65,Price: ,3.5,ok
1.121794687, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,USC Eugendorf v SV Grodig, Favorite: ,SV Grodig, 3164532   size:2.96,Price: ,1.13,USC Eugendorf, 8680435   size:3.36,Price: ,12.5,The Draw, 58805   size:3.7,Price: ,6.8,ok
1.121791971, Sport: ,Soccer, Time: ,Sat Nov 14 12:00:00 CET 2015, Time: ,Sat Nov 14 12:00:00 CET 2015, Event: ,KKS Lech Poznan U19 v Stelmet UKP U19, Favorite: ,KKS Lech Poznan U19, 6486120   size:5.0,Price: ,1.11,Stelmet UKP U19, 7236888   size:11.15,Price: ,1.32,The Draw, 58805   size:10.12,Price: ,2.88,ok
1.121766671, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Yokohama v Gunma, Favorite: ,Yokohama, 6736964   size:10.89,Price: ,1.34,Gunma, 6718630   size:8.2,Price: ,3.0,x
1.121833997, Sport: ,Tennis, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,J Donaldson v D Evans, Favorite: ,Jared Donaldson, 7413423   size:65.59,Price: ,1.85,Daniel Evans, 3103121   size:6.04,Price: ,2.02,x
1.121754829, Sport: ,Ice Hockey, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,JYP Akatemia v Hermes, Favorite: ,Hermes, 272755   size:6.04,Price: ,1.39,JYP Akatemia, 5847122   size:14.55,Price: ,2.18,Tie, 60104   size:18.0,Price: ,1.63,x
1.121792023, Sport: ,Soccer, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,FK Senica U19 v Dunajska Streda U19, Favorite: ,FK Senica U19, 6740651   size:8.02,Price: ,1.39,Dunajska Streda U19, 10210805   size:5.19,Price: ,2.54,The Draw, 58805   size:5.05,Price: ,2.94,ok
1.121790644, Sport: ,Soccer, Time: ,Sat Nov 14 12:30:00 CET 2015, Time: ,Sat Nov 14 12:30:00 CET 2015, Event: ,CS Balotesti v Rapid Bucharest, Favorite: ,Rapid Bucharest, 6394   size:5.45,Price: ,1.7,CS Balotesti, 7161082   size:6.82,Price: ,3.9,The Draw, 58805   size:15.27,Price: ,3.6,ok
1.121793118, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Reims Sainte-Anne v Dunkerque, Favorite: ,Dunkerque, 2250259   size:2.87,Price: ,1.74,Reims Sainte-Anne, 6873344   size:2.54,Price: ,4.4,The Draw, 58805   size:15.05,Price: ,3.25,x
