1.121985852, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,KAC Klagenfurt v Red Bull Salzburg, Favorite: ,KAC Klagenfurt, 1348429   size:6.13,Price: ,2.28,Red Bull Salzburg, 2584427   size:6.13,Price: ,2.36,Tie, 60104   size:53.0,Price: ,4.0,x
1.121932286, Sport: ,Soccer, Time: ,Sun Nov 29 16:00:00 CET 2015, Time: ,Sun Nov 29 16:00:00 CET 2015, Event: ,Sitra v Al Hadd, Favorite: ,Sitra, 10458115   size:18.87,Price: ,1.02,Al Hadd, 6758121   size:6.13,Price: ,1.14,The Draw, 58805   size:15.11,Price: ,3.0,x
1.121933015, Sport: ,Soccer, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Pohang Steelers v FC Seoul, Favorite: ,Pohang Steelers, 1363823   size:207.49,Price: ,2.24,FC Seoul, 2479786   size:92.26,Price: ,3.6,The Draw, 58805   size:72.32,Price: ,3.45,ok
1.121985857, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Shanghai v JiangSu Tongxi, Favorite: ,Shanghai, 8926900   size:1182.49,Price: ,1.06,JiangSu Tongxi, 8926916   size:390.22,Price: ,1.06,ok
1.121985978, Sport: ,Basketball, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Giessen v Bayreuth, Favorite: ,Giessen, 2114278   size:3.26,Price: ,1.03,Bayreuth, 5002542   size:2.83,Price: ,1.03,x
1.121985859, Sport: ,Basketball, Time: ,Sun Nov 29 09:00:00 CET 2015, Time: ,Sun Nov 29 09:00:00 CET 2015, Event: ,Shenzhen New Century Le v Zhejiang Guangsha, Favorite: ,Zhejiang Guangsha, 8926901   size:11.37,Price: ,1.52,Dongguan, 10466369   size:4.04,Price: ,2.46,ok
1.122067133, Sport: ,Soccer, Time: ,Sun Nov 29 11:30:00 CET 2015, Time: ,Sun Nov 29 11:30:00 CET 2015, Event: ,St Cruz Cavelossim v Sporting Goa, Favorite: ,St Cruz Cavelossim, 7568748   size:5.08,Price: ,1.05,Sporting Goa, 5969463   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
1.122039904, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Matthew Selt v Sean O'Sullivan, Favorite: ,Matthew Selt, 2725267   size:2.55,Price: ,1.46,Sean O'Sullivan, 6603339   size:11.58,Price: ,2.82,ok
1.121888238, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Grays Athletic v Corinthian Casuals, Favorite: ,Grays Athletic, 62644   size:2.82,Price: ,1.5,Corinthian Casuals, 10542484   size:8.1,Price: ,4.5,The Draw, 58805   size:8.86,Price: ,4.2,x
1.121921066, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,Schonberg v Babelsberg, Favorite: ,Babelsberg, 110683   size:2.55,Price: ,2.36,Schonberg, 516225   size:3.68,Price: ,3.3,The Draw, 58805   size:13.7,Price: ,3.35,ok
