1.121529003, Sport: ,Basketball, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Instituto Atletico Cent v Regatas, Favorite: ,Instituto Atletico Cent, 10346458   size:2.55,Price: ,1.78,Regatas, 6718792   size:134.83,Price: ,2.12,x
1.121493562, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Vanderbilt @ Houston, Favorite: ,Houston, 87483   size:454.23,Price: ,1.27,Vanderbilt, 2129030   size:4.12,Price: ,4.4,ok
1.121446898, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,C-Osaka v Kumamoto, Favorite: ,C-Osaka, 361742   size:95.01,Price: ,1.86,Kumamoto, 5021204   size:38.37,Price: ,5.1,The Draw, 58805   size:212.45,Price: ,3.6,x
1.121506520, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Racing Club (Uru) v Nacional (Uru), Favorite: ,Nacional (Uru), 504780   size:433.91,Price: ,1.25,Racing Club (Uru), 4465708   size:4.96,Price: ,19.0,The Draw, 58805   size:35.24,Price: ,6.0,x
1.121493601, Sport: ,American Football, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Notre Dame @ Temple, Favorite: ,Notre Dame, 484735   size:205.18,Price: ,1.24,Temple, 2118872   size:134.0,Price: ,4.5,ok
1.121566230, Sport: ,Soccer, Time: ,Sat Oct 31 23:05:00 CET 2015, Time: ,Sat Oct 31 23:05:00 CET 2015, Event: ,Defensores de Belgrano v UAI Urquiza, Favorite: ,Defensores de Belgrano, 5643646   size:38.68,Price: ,1.59,UAI Urquiza, 7128575   size:25.32,Price: ,7.8,The Draw, 58805   size:3.84,Price: ,3.65,ok
1.121529086, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Tokyo v Aomori, Favorite: ,Aomori, 7759170   size:3.63,Price: ,1.08,Tokyo, 6736966   size:2.55,Price: ,1.23,ok
1.121529088, Sport: ,Basketball, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Toyama v Sendai, Favorite: ,Toyama, 6718629   size:85.46,Price: ,1.82,Sendai, 6718618   size:70.08,Price: ,2.0,ok
1.121478083, Sport: ,Soccer, Time: ,Sun Nov 01 01:45:00 CET 2015, Time: ,Sun Nov 01 01:45:00 CET 2015, Event: ,Atletico Nacional v Millonarios, Favorite: ,Atletico Nacional, 478920   size:696.51,Price: ,1.63,Millonarios, 900849   size:21.9,Price: ,6.6,The Draw, 58805   size:2.34,Price: ,4.2,ok
1.121395267, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Pittsburgh @ Toronto, Favorite: ,Pittsburgh, 2115995   size:305.0,Price: ,2.1,Toronto, 2108073   size:342.97,Price: ,3.2,Tie, 60104   size:113.96,Price: ,4.3,ok
1.121529091, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Yokohama v Shinshu Nagano, Favorite: ,Yokohama, 6736964   size:335.45,Price: ,1.08,Shinshu Nagano, 6736962   size:192.72,Price: ,1.08,ok
1.121596002, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Nara Club v FC Azul Claro Numazu, Favorite: ,Nara Club, 4233883   size:4.15,Price: ,1.07,FC Azul Claro Numazu, 8870576   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121593370, Sport: ,Soccer, Time: ,Sun Nov 01 02:00:00 CET 2015, Time: ,Sun Nov 01 02:00:00 CET 2015, Event: ,Aguila v CD Chalatenago, Favorite: ,Aguila, 6538507   size:10.9,Price: ,1.1,CD Chalatenago, 10104394   size:10.9,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,2.24,x
1.121463273, Sport: ,Soccer, Time: ,Sun Nov 01 03:00:00 CET 2015, Time: ,Sun Nov 01 03:00:00 CET 2015, Event: ,Marquense v Coban Imperial, Favorite: ,Marquense, 9215444   size:16.0,Price: ,1.23,Coban Imperial, 9514810   size:12.0,Price: ,1.83,The Draw, 58805   size:18.0,Price: ,2.26,x
1.121447342, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Okayama v Kamatamare Sanuki, Favorite: ,Okayama, 5561025   size:37.98,Price: ,2.06,Kamatamare Sanuki, 4233864   size:75.63,Price: ,4.5,The Draw, 58805   size:136.31,Price: ,3.3,x
1.121592321, Sport: ,Soccer, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Union San Felipe v Curico Unido, Favorite: ,Union San Felipe, 4966011   size:34.76,Price: ,1.89,Curico Unido, 5429246   size:3.5,Price: ,4.4,The Draw, 58805   size:2.8,Price: ,3.6,x
1.121502453, Sport: ,Soccer, Time: ,Sun Nov 01 01:10:00 CET 2015, Time: ,Sun Nov 01 01:10:00 CET 2015, Event: ,Newells v Lanus, Favorite: ,Newells, 194506   size:2.65,Price: ,2.44,Lanus, 194513   size:37.91,Price: ,3.6,The Draw, 58805   size:2.39,Price: ,3.15,x
1.121604166, Sport: ,Tennis, Time: ,Sat Oct 31 23:00:00 CET 2015, Time: ,Sat Oct 31 23:00:00 CET 2015, Event: ,Estrella Burgos v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:29.51,Price: ,1.74,Victor Estrella Burgos, 7430580   size:2.8,Price: ,2.26,ok
1.121604321, Sport: ,Tennis, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Rochette v J Hung, Favorite: ,Laurent Rochette, 6603921   size:3.97,Price: ,1.26,Jui-Chen Hung, 8283560   size:2.55,Price: ,3.55,ok
1.121529075, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Oita v Hamamatsu, Favorite: ,Hamamatsu, 6718617   size:9.69,Price: ,1.03,Oita, 6736967   size:31.57,Price: ,1.76,ok
1.121529074, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Gunma v Iwate, Favorite: ,Iwate, 6718620   size:116.79,Price: ,1.6,Gunma, 6718630   size:50.77,Price: ,2.38,ok
1.121529077, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Saitama v Niigata, Favorite: ,Niigata, 6718619   size:9.69,Price: ,1.03,Saitama, 6736963   size:5.9,Price: ,1.2,ok
1.121447194, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Mito v Thespakusatsu Gunma, Favorite: ,Mito, 3455677   size:37.08,Price: ,1.82,Thespakusatsu Gunma, 7078090   size:66.39,Price: ,5.2,The Draw, 58805   size:45.31,Price: ,3.6,x
1.121445579, Sport: ,Soccer, Time: ,Sun Nov 01 01:30:00 CET 2015, Time: ,Sun Nov 01 01:30:00 CET 2015, Event: ,Sonsonate FC v CD Dragon, Favorite: ,Sonsonate FC, 10147076   size:4.14,Price: ,2.38,CD Dragon, 8467366   size:2.55,Price: ,2.78,The Draw, 58805   size:2.55,Price: ,2.98,x
1.121595687, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,FC Osaka v Verspah Oita, Favorite: ,FC Osaka, 9301693   size:10.9,Price: ,1.1,Verspah Oita, 9391078   size:10.9,Price: ,1.36,The Draw, 58805   size:10.9,Price: ,1.29,x
1.121505259, Sport: ,Soccer, Time: ,Sun Nov 01 07:00:00 CET 2015, Time: ,Sun Nov 01 07:00:00 CET 2015, Event: ,Baikal Irkutsk v Zenit St Petersburg II, Favorite: ,Baikal Irkutsk, 9836178   size:2.55,Price: ,2.56,Zenit St Petersburg II, 9386609   size:2.55,Price: ,2.82,The Draw, 58805   size:2.54,Price: ,3.3,ok
