1.119894169, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Aditya Mehta v Gareth Allen, Favorite: ,Gareth Allen, 5902759   size:0.0,Price: ,0.0,Aditya Mehta, 3710100   size:5.95,Price: ,1.34,ok
1.119909924, Sport: ,Volleyball, Time: ,Fri Aug 07 12:30:00 CEST 2015, Time: ,Fri Aug 07 12:30:00 CEST 2015, Event: ,Kuwait v Sri Lanka, Favorite: ,Kuwait, 7712803   size:2.55,Price: ,1.63,Sri Lanka, 4157190   size:10.15,Price: ,2.18,x
1.119765658, Sport: ,Soccer, Time: ,Fri Aug 07 13:15:00 CEST 2015, Time: ,Fri Aug 07 13:15:00 CEST 2015, Event: ,Indian National FC v Youngmen FC, Favorite: ,Indian National FC, 10096173   size:2.55,Price: ,1.58,Youngmen FC, 10091628   size:2.55,Price: ,1.78,The Draw, 58805   size:2.55,Price: ,3.25,ok
1.119909926, Sport: ,Volleyball, Time: ,Fri Aug 07 10:30:00 CEST 2015, Time: ,Fri Aug 07 10:30:00 CEST 2015, Event: ,Turkmenistan v Oman, Favorite: ,Oman, 7712695   size:3.01,Price: ,1.66,Turkmenistan, 10091143   size:2.34,Price: ,2.14,ok
1.119894149, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Dominic Dale v Lee Walker, Favorite: ,Dominic Dale, 2278875   size:4.61,Price: ,1.39,lee walker, 2620445   size:2.03,Price: ,3.15,
1.119792415, Sport: ,Cricket, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Leicestershire v Derbyshire, Favorite: ,Derbyshire, 31375   size:3.05,Price: ,1.64,Leicestershire, 31377   size:2.2,Price: ,2.62,The Draw, 60443   size:7.53,Price: ,3.8,x
1.119873681, Sport: ,Tennis, Time: ,Fri Aug 07 12:30:00 CEST 2015, Time: ,Fri Aug 07 12:30:00 CEST 2015, Event: ,Bertens v Reix, Favorite: ,Kiki Bertens, 5611697   size:6.75,Price: ,1.2,Sherazad Reix, 9610851   size:2.55,Price: ,5.0,ok
1.119490777, Sport: ,Cricket, Time: ,Fri Aug 07 09:00:00 CEST 2015, Time: ,Fri Aug 07 09:00:00 CEST 2015, Event: ,Zimbabwe v New Zealand (3rd ODI), Favorite: ,New Zealand, 448   size:11417.84,Price: ,1.26,Zimbabwe, 1006   size:8.24,Price: ,4.7,ok
1.119767573, Sport: ,Soccer, Time: ,Fri Aug 07 13:30:00 CEST 2015, Time: ,Fri Aug 07 13:30:00 CEST 2015, Event: ,Balestier Khalsa v Hougang Utd, Favorite: ,Balestier Khalsa, 5322891   size:4.52,Price: ,1.83,The Draw, 58805   size:2.55,Price: ,3.8,Hougang Utd, 5339978   size:12.96,Price: ,3.9,ok
1.119899050, Sport: ,Tennis, Time: ,Fri Aug 07 13:00:00 CEST 2015, Time: ,Fri Aug 07 13:00:00 CEST 2015, Event: ,P Mathieu v Almagro, Favorite: ,Nicolas Almagro, 2257310   size:98.34,Price: ,1.53,Paul-Henri Mathieu, 8259186   size:4.0,Price: ,2.88,x
1.119871637, Sport: ,Soccer, Time: ,Fri Aug 07 12:15:00 CEST 2015, Time: ,Fri Aug 07 12:15:00 CEST 2015, Event: ,Brothers Union v Rahmatgonj MFS, Favorite: ,Brothers Union, 8618577   size:12.55,Price: ,1.4,The Draw, 58805   size:2.55,Price: ,3.5,Rahmatgonj MFS, 9429207   size:2.55,Price: ,4.7,
1.119907481, Sport: ,Tennis, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Almagro/Berlocq v Fyrstenberg/Gonzalez, Favorite: ,Fyrstenberg/Gonzalez, 9128657   size:109.95,Price: ,1.5,Almagro/Berlocq, 10105799   size:102.56,Price: ,2.34,x
1.119898915, Sport: ,Tennis, Time: ,Fri Aug 07 14:35:00 CEST 2015, Time: ,Fri Aug 07 14:35:00 CEST 2015, Event: ,Donskoy v Kravchuk, Favorite: ,Evgeny Donskoy, 3391304   size:2.96,Price: ,1.69,Konstantin Kravchuk, 5011822   size:2.29,Price: ,2.18,ok
1.119791150, Sport: ,Cricket, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Worcestershire v Nottinghamshire, Favorite: ,Nottinghamshire, 2780   size:2.55,Price: ,1.91,Worcestershire, 31372   size:2.55,Price: ,2.48,The Draw, 60443   size:2.84,Price: ,4.2,ok
