1.121932167, Sport: ,Soccer, Time: ,Sun Nov 29 19:30:00 CET 2015, Time: ,Sun Nov 29 19:30:00 CET 2015, Event: ,Steaua Bucharest v Astra Giurgiu, Favorite: ,Steaua Bucharest, 489080   size:100.96,Price: ,2.3,Astra Giurgiu, 4991412   size:31.09,Price: ,3.55,The Draw, 58805   size:51.15,Price: ,3.4,x
1.122059873, Sport: ,Soccer, Time: ,Sun Nov 29 16:30:00 CET 2015, Time: ,Sun Nov 29 16:30:00 CET 2015, Event: ,CDA Navalcarnero v Club Atletico de Pinto, Favorite: ,CDA Navalcarnero, 9376533   size:5.38,Price: ,1.07,Club Atletico de Pinto, 7636389   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
1.121985857, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Shanghai v JiangSu Tongxi, Favorite: ,Shanghai, 8926900   size:6.13,Price: ,1.82,JiangSu Tongxi, 8926916   size:93.0,Price: ,2.08,ok
1.121985978, Sport: ,Basketball, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Giessen v Bayreuth, Favorite: ,Giessen, 2114278   size:13.12,Price: ,1.46,Bayreuth, 5002542   size:7.54,Price: ,2.86,x
1.121985858, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Shanxi v Beijing, Favorite: ,Beijing, 6254117   size:369.99,Price: ,1.27,Shanxi, 8926913   size:12.43,Price: ,4.2,ok
1.121985859, Sport: ,Basketball, Time: ,Sun Nov 29 09:00:00 CET 2015, Time: ,Sun Nov 29 09:00:00 CET 2015, Event: ,Shenzhen New Century Le v Zhejiang Guangsha, Favorite: ,Zhejiang Guangsha, 8926901   size:2.55,Price: ,1.57,Dongguan, 10466369   size:43.02,Price: ,2.54,ok
1.122067133, Sport: ,Soccer, Time: ,Sun Nov 29 11:30:00 CET 2015, Time: ,Sun Nov 29 11:30:00 CET 2015, Event: ,St Cruz Cavelossim v Sporting Goa, Favorite: ,Sporting Goa, 5969463   size:2.55,Price: ,1.49,St Cruz Cavelossim, 7568748   size:5.0,Price: ,4.7,The Draw, 58805   size:5.85,Price: ,3.75,ok
1.122039904, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Matthew Selt v Sean O'Sullivan, Favorite: ,Matthew Selt, 2725267   size:19.37,Price: ,1.46,Sean O'Sullivan, 6603339   size:2.55,Price: ,2.9,ok
1.122074824, Sport: ,Tennis, Time: ,Sun Nov 29 10:30:00 CET 2015, Time: ,Sun Nov 29 10:30:00 CET 2015, Event: ,Mertl, Jan v Veger, Filip, Favorite: ,Jan Mertl, 3034493   size:6.13,Price: ,1.59,Filip Veger, 7032182   size:7.62,Price: ,2.14,ok
1.121888238, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Grays Athletic v Corinthian Casuals, Favorite: ,Grays Athletic, 62644   size:2.29,Price: ,1.51,Corinthian Casuals, 10542484   size:8.86,Price: ,4.5,The Draw, 58805   size:9.67,Price: ,4.2,x
1.121921064, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,Budissa Bautzen v Hertha Berlin II, Favorite: ,Budissa Bautzen, 8740121   size:151.03,Price: ,1.92,Hertha Berlin II, 6035884   size:28.12,Price: ,4.3,The Draw, 58805   size:11.91,Price: ,3.65,x
1.121921066, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,Schonberg v Babelsberg, Favorite: ,Babelsberg, 110683   size:18.12,Price: ,2.44,Schonberg, 516225   size:2.82,Price: ,3.3,The Draw, 58805   size:22.04,Price: ,3.35,ok
1.121921069, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,Meuselwitz v Berliner AK, Favorite: ,Berliner AK, 4901948   size:14.04,Price: ,2.2,Meuselwitz, 4901941   size:122.66,Price: ,3.5,The Draw, 58805   size:53.6,Price: ,3.55,x
1.121935317, Sport: ,Soccer, Time: ,Sun Nov 29 21:00:00 CET 2015, Time: ,Sun Nov 29 21:00:00 CET 2015, Event: ,Chapecoense v Goias, Favorite: ,Chapecoense, 2909511   size:105.31,Price: ,2.22,Goias, 198131   size:9.15,Price: ,3.7,The Draw, 58805   size:557.5,Price: ,3.45,x
1.122060737, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Lebrijana v Lucena CF, Favorite: ,Lebrijana, 9315717   size:2.0,Price: ,1.74,Lucena CF, 10243077   size:3.07,Price: ,2.52,The Draw, 58805   size:14.65,Price: ,2.88,x
1.122061706, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,UD Mutilvera v CA Osasuna II, Favorite: ,UD Mutilvera, 9397043   size:5.38,Price: ,1.07,CA Osasuna II, 9310975   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
1.121921060, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Lubeck v TSV Havelse, Favorite: ,Lubeck, 199183   size:192.85,Price: ,2.16,TSV Havelse, 5340376   size:36.24,Price: ,3.55,The Draw, 58805   size:20.9,Price: ,3.55,ok
1.121921062, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Cloppenburg v Drochtersen-Assel, Favorite: ,Drochtersen-Assel, 9988838   size:148.66,Price: ,2.24,Cloppenburg, 10003037   size:5.0,Price: ,3.35,The Draw, 58805   size:5.0,Price: ,3.55,x
1.121922390, Sport: ,Soccer, Time: ,Sun Nov 29 13:45:00 CET 2015, Time: ,Sun Nov 29 13:45:00 CET 2015, Event: ,Sion v Thun, Favorite: ,Sion, 65785   size:320.35,Price: ,2.12,Thun, 176184   size:116.44,Price: ,3.85,The Draw, 58805   size:86.62,Price: ,3.6,x
1.121985982, Sport: ,Basketball, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Gottingen v Bonn, Favorite: ,Bonn, 2293349   size:14.5,Price: ,1.4,Gottingen, 2566190   size:2.55,Price: ,3.15,x
