1.120831028, Sport: ,Baseball, Time: ,Wed Sep 30 04:10:00 CEST 2015, Time: ,Wed Sep 30 04:10:00 CEST 2015, Event: ,HOU @ SEA, Favorite: ,Houston (M Fiers), 10111932   size:105.93,Price: ,1.66,Seattle (V Nuno), 10111933   size:257.0,Price: ,2.4,x
1.120947609, Sport: ,Tennis, Time: ,Wed Sep 30 14:30:00 CEST 2015, Time: ,Wed Sep 30 14:30:00 CEST 2015, Event: ,Roger-Vasselin v J Ward, Favorite: ,Edouard Roger-Vasselin, 8259187   size:2.55,Price: ,1.26,James Ward, 2370329   size:6.47,Price: ,3.95,ok
1.120973137, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC Chiatura v FC Betlemi Keda, Favorite: ,FC Chiatura, 7117835   size:3.55,Price: ,1.07,FC Betlemi Keda, 6843866   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,ok
1.120957212, Sport: ,Tennis, Time: ,Tue Sep 29 21:45:00 CEST 2015, Time: ,Tue Sep 29 21:45:00 CEST 2015, Event: ,Guez/Loglo v Couacaud/Teixeira, Favorite: ,Couacaud/Teixeira, 10343512   size:4.11,Price: ,1.51,Guez/Loglo, 10343511   size:2.62,Price: ,2.62,ok
1.120973411, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC WIT Georgia Tbilisi v Samgurali Tskaltubo, Favorite: ,FC WIT Georgia Tbilisi, 10255178   size:3.55,Price: ,1.07,Samgurali Tskaltubo, 7137139   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.120978828, Sport: ,Tennis, Time: ,Wed Sep 30 12:00:00 CEST 2015, Time: ,Wed Sep 30 12:00:00 CEST 2015, Event: ,J Marti v Montanes, Favorite: ,Javier Marti, 5086037   size:3.1,Price: ,1.08,Albert Montanes, 2263599   size:3.1,Price: ,1.08,x
1.120978544, Sport: ,Tennis, Time: ,Wed Sep 30 10:00:00 CEST 2015, Time: ,Wed Sep 30 10:00:00 CEST 2015, Event: ,Sasnovich v Hibino, Favorite: ,Aliaksandra Sasnovich, 7283310   size:1042.38,Price: ,1.45,Nao Hibino, 7683152   size:5.0,Price: ,3.1,x
1.120975152, Sport: ,Tennis, Time: ,Wed Sep 30 06:30:00 CEST 2015, Time: ,Wed Sep 30 06:30:00 CEST 2015, Event: ,Svitolina v Ka Pliskova, Favorite: ,Elina Svitolina, 6324464   size:41.67,Price: ,1.72,Karolina Pliskova, 6199453   size:20.7,Price: ,2.26,x
1.120977297, Sport: ,Tennis, Time: ,Wed Sep 30 08:30:00 CEST 2015, Time: ,Wed Sep 30 08:30:00 CEST 2015, Event: ,Kozlova v Siniakova, Favorite: ,Kateryna Kozlova, 7051154   size:51.0,Price: ,1.76,Katerina Siniakova, 7137442   size:45.73,Price: ,2.28,ok
1.120978264, Sport: ,Tennis, Time: ,Wed Sep 30 12:00:00 CEST 2015, Time: ,Wed Sep 30 12:00:00 CEST 2015, Event: ,Delbonis v G Di Meo, Favorite: ,Federico Delbonis, 6181532   size:6.21,Price: ,1.04,Giulio Di Meo, 9456599   size:6.21,Price: ,1.04,ok
1.120848321, Sport: ,Soccer, Time: ,Wed Sep 30 11:00:00 CEST 2015, Time: ,Wed Sep 30 11:00:00 CEST 2015, Event: ,FC Astana U19 v Galatasaray U19, Favorite: ,Galatasaray U19, 7653235   size:4.44,Price: ,1.11,FC Astana U19, 10261996   size:14.2,Price: ,11.0,The Draw, 58805   size:21.3,Price: ,7.4,ok
1.120849254, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Spartak Moscow U19 v Ravan Baku U19, Favorite: ,Spartak Moscow U19, 10317869   size:3.55,Price: ,1.07,Ravan Baku U19, 8110456   size:3.55,Price: ,1.07,The Draw, 58805   size:2.55,Price: ,1.39,ok
1.120851427, Sport: ,Soccer, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Santa Cruz PE v Bragantino SP, Favorite: ,Santa Cruz PE, 6132724   size:154.28,Price: ,1.57,Bragantino SP, 4701919   size:35.62,Price: ,6.8,The Draw, 58805   size:36.36,Price: ,4.4,ok
1.120962376, Sport: ,Soccer, Time: ,Tue Sep 29 21:00:00 CEST 2015, Time: ,Tue Sep 29 21:00:00 CEST 2015, Event: ,Queen of South U20 v Airdrieonians U20, Favorite: ,Queen of South U20, 9220053   size:5.32,Price: ,1.51,Airdrieonians U20, 9220054   size:5.32,Price: ,1.58,The Draw, 58805   size:2.6,Price: ,4.0,x
