1.121018159, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Liechtenstein v Sweden, Favorite: ,Sweden, 25912   size:58445.11,Price: ,1.11,Liechtenstein, 25909   size:4.78,Price: ,55.0,The Draw, 58805   size:276.31,Price: ,11.5,ok
1.121120442, Sport: ,Tennis, Time: ,Fri Oct 09 20:00:00 CEST 2015, Time: ,Fri Oct 09 20:00:00 CEST 2015, Event: ,M Reid v Meister, Favorite: ,Nicolas Meister, 6534042   size:4.49,Price: ,1.56,Matt Reid, 4423896   size:5.8,Price: ,2.54,x
1.119567012, Sport: ,Rugby Union, Time: ,Fri Oct 09 21:00:00 CEST 2015, Time: ,Fri Oct 09 21:00:00 CEST 2015, Event: ,New Zealand v Tonga, Favorite: ,New Zealand, 14120   size:236739.92,Price: ,1.01,Tonga, 61427   size:20.77,Price: ,85.0,Draw, 246289   size:2.69,Price: ,440.0,ok
1.121115771, Sport: ,Soccer, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,Verl v Paderborn, Favorite: ,Paderborn, 208035   size:41.64,Price: ,1.57,Verl, 4901988   size:2.69,Price: ,8.8,The Draw, 58805   size:2.69,Price: ,3.9,ok
1.121007783, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Derry v Bray, Favorite: ,Derry, 184326   size:65.16,Price: ,1.92,Bray, 184327   size:408.75,Price: ,4.6,The Draw, 58805   size:137.85,Price: ,3.65,ok
1.121005760, Sport: ,Soccer, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Bulgaria U21 v Armenia U21, Favorite: ,Bulgaria U21, 210057   size:37.02,Price: ,1.59,Armenia U21, 210037   size:306.83,Price: ,6.4,The Draw, 58805   size:112.91,Price: ,4.3,ok
1.121006051, Sport: ,Soccer, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Jahn Regensburg v Bayern Munich II, Favorite: ,Jahn Regensburg, 4855758   size:68.06,Price: ,2.44,Bayern Munich II, 5949557   size:40.42,Price: ,3.0,The Draw, 58805   size:26.71,Price: ,3.65,x
1.121101689, Sport: ,Basketball, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Cibona v Union Olimpija, Favorite: ,Union Olimpija, 266278   size:39.93,Price: ,1.92,Cibona, 767514   size:51.91,Price: ,1.96,ok
1.121106737, Sport: ,Basketball, Time: ,Fri Oct 09 20:30:00 CEST 2015, Time: ,Fri Oct 09 20:30:00 CEST 2015, Event: ,Rouen v Dijon, Favorite: ,Dijon, 1292705   size:75.87,Price: ,1.66,Rouen, 1292701   size:2.54,Price: ,2.28,ok
1.121157165, Sport: ,Tennis, Time: ,Fri Oct 09 22:15:00 CEST 2015, Time: ,Fri Oct 09 22:15:00 CEST 2015, Event: ,P Lorenzi v Lapentti, Favorite: ,Paolo Lorenzi, 2345099   size:201.17,Price: ,1.26,Giovanni Lapentti, 1565   size:19.39,Price: ,4.0,ok
1.121134172, Sport: ,Basketball, Time: ,Fri Oct 09 21:00:00 CEST 2015, Time: ,Fri Oct 09 21:00:00 CEST 2015, Event: ,Caceres v Huesca, Favorite: ,Caceres, 4661098   size:2.55,Price: ,1.27,Huesca, 5021019   size:2.55,Price: ,1.27,ok
1.121006216, Sport: ,Soccer, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,PSV FC Ein (W) v Ajax (W), Favorite: ,PSV FC Ein (W), 6601829   size:2.55,Price: ,2.18,Ajax (W), 8814626   size:4.47,Price: ,2.48,The Draw, 58805   size:2.65,Price: ,3.55,x
1.121157770, Sport: ,Golf, Time: ,Sat Oct 10 00:27:00 CEST 2015, Time: ,Sat Oct 10 00:27:00 CEST 2015, Event: ,Haas/Kuchar v Bae/Matsuyama, Favorite: ,Haas/Kuchar, 5966520   size:2.54,Price: ,2.24,Bae/Matsuyama, 10399566   size:2.54,Price: ,2.24,Tie, 39905   size:137.74,Price: ,6.2,x
1.121134178, Sport: ,Basketball, Time: ,Fri Oct 09 21:00:00 CEST 2015, Time: ,Fri Oct 09 21:00:00 CEST 2015, Event: ,Melilla v Leyma Coruna, Favorite: ,Leyma Coruna, 6719107   size:5.39,Price: ,1.02,Melilla, 4661088   size:29.29,Price: ,1.09,x
