1.122006103, Sport: ,Snooker, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Ross Muir v Ben Woollaston, Favorite: ,Ben Woollaston, 2293306   size:5.0,Price: ,1.26,Ross Muir, 7303690   size:4.41,Price: ,4.1,ok
1.122006108, Sport: ,Snooker, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Jamie Burnett v Alan McManus, Favorite: ,Alan McManus, 2281438   size:14.18,Price: ,1.66,Jamie Burnett, 2280126   size:20.55,Price: ,2.46,x
1.121932967, Sport: ,Soccer, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Suwon Bluewings v Jeonbuk Motors, Favorite: ,Suwon Bluewings, 5339134   size:14.64,Price: ,2.16,Jeonbuk Motors, 2224159   size:6.79,Price: ,3.5,The Draw, 58805   size:25.73,Price: ,3.45,ok
1.121967386, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Bergischer v Stuttgart, Favorite: ,Stuttgart, 10174885   size:19.04,Price: ,1.11,Bergischer, 4500054   size:2.44,Price: ,1.51,Draw, 330157   size:18.42,Price: ,1.19,x
1.122025469, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Busan Sonicboom v Jeonju KCC Egis, Favorite: ,Busan Sonicboom, 8941900   size:2.83,Price: ,1.03,Jeonju KCC Egis, 8148243   size:2.83,Price: ,1.03,x
1.121935718, Sport: ,Soccer, Time: ,Sun Nov 29 01:00:00 CET 2015, Time: ,Sun Nov 29 01:00:00 CET 2015, Event: ,River Plate (Ecu) v Aucas, Favorite: ,River Plate (Ecu), 9180231   size:4.32,Price: ,2.08,Aucas, 897347   size:3.56,Price: ,3.6,The Draw, 58805   size:18.63,Price: ,3.4,ok
1.121985970, Sport: ,Basketball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Phoenix Hagen v Oldenburg, Favorite: ,Oldenburg, 1285952   size:220.22,Price: ,1.34,Phoenix Hagen, 4228376   size:4.35,Price: ,3.7,x
1.121985742, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Stratford Town v Paulton Rovers, Favorite: ,Stratford Town, 2119277   size:4.92,Price: ,1.54,Paulton Rovers, 3396713   size:2.82,Price: ,4.7,The Draw, 58805   size:2.82,Price: ,4.1,ok
1.121887837, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Chorley v Skelmersdale Utd, Favorite: ,Chorley, 4231709   size:2.82,Price: ,1.58,Skelmersdale Utd, 3491517   size:7.55,Price: ,5.2,The Draw, 58805   size:2.55,Price: ,4.4,x
1.121988737, Sport: ,Hockey, Time: ,Sat Nov 28 14:00:00 CET 2015, Time: ,Sat Nov 28 14:00:00 CET 2015, Event: ,Germany v India, Favorite: ,Germany, 206943   size:0.0,Price: ,0.0,India, 206963   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,x
1.121985746, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Kettering v Poole Town, Favorite: ,Poole Town, 5051238   size:2.87,Price: ,1.82,Kettering, 18556   size:2.82,Price: ,3.65,The Draw, 58805   size:2.82,Price: ,3.75,x
1.121970149, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,Wisconsin @ Minnesota, Favorite: ,Wisconsin, 662059   size:2.83,Price: ,1.03,Minnesota, 18575   size:2.83,Price: ,1.03,ok
1.121887835, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Brackley Town v Worcester, Favorite: ,Brackley Town, 2145773   size:2.82,Price: ,2.46,Worcester, 1034121   size:4.11,Price: ,2.92,The Draw, 58805   size:5.34,Price: ,3.6,x
1.121970146, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,Penn State @ Michigan State, Favorite: ,Michigan State, 662019   size:936.27,Price: ,1.23,Penn State, 1303222   size:3.06,Price: ,4.4,ok
1.121888401, Sport: ,Soccer, Time: ,Sat Nov 28 14:30:00 CET 2015, Time: ,Sat Nov 28 14:30:00 CET 2015, Event: ,NorthEast Utd FC v Delhi Dynamos, Favorite: ,NorthEast Utd FC, 10360661   size:64.71,Price: ,2.38,Delhi Dynamos, 8897748   size:9.07,Price: ,3.05,The Draw, 58805   size:2.55,Price: ,3.4,x
1.121970143, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,Alabama @ Auburn, Favorite: ,Alabama, 1010531   size:1116.81,Price: ,1.16,Auburn, 484732   size:3.09,Price: ,5.5,ok
1.122030545, Sport: ,Soccer, Time: ,Sat Nov 28 16:30:00 CET 2015, Time: ,Sat Nov 28 16:30:00 CET 2015, Event: ,Al Nasr (UAE) v Al Ain, Favorite: ,Al Ain, 1252830   size:6.41,Price: ,1.99,Al Nasr (UAE), 6203741   size:5.0,Price: ,3.2,The Draw, 58805   size:14.38,Price: ,3.45,ok
1.121970140, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,North Carolina @ NC State, Favorite: ,North Carolina, 617088   size:52.03,Price: ,1.52,NC State, 484737   size:2.55,Price: ,2.78,ok
1.121971982, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Smouha v Al Masry, Favorite: ,Smouha, 5170871   size:27.31,Price: ,2.6,Al Masry, 5174044   size:50.08,Price: ,3.2,The Draw, 58805   size:86.11,Price: ,3.1,x
1.122025477, Sport: ,Basketball, Time: ,Sun Nov 29 08:00:00 CET 2015, Time: ,Sun Nov 29 08:00:00 CET 2015, Event: ,Ulsan Mobis Phoebus v Goyang Orions, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:2.83,Price: ,1.03,Goyang Orions, 5889518   size:2.83,Price: ,1.03,ok
1.121888481, Sport: ,Soccer, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,Hapoel Kiryat Shmona v Bnei Sakhnin, Favorite: ,Hapoel Kiryat Shmona, 5538497   size:17.02,Price: ,1.94,Bnei Sakhnin, 3157354   size:70.38,Price: ,4.4,The Draw, 58805   size:14.36,Price: ,3.5,x
1.122030939, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,CS Constantine v MC Alger, Favorite: ,CS Constantine, 7598561   size:48.64,Price: ,1.9,MC Alger, 5177434   size:7.27,Price: ,2.86,The Draw, 58805   size:13.56,Price: ,3.1,x
1.121888483, Sport: ,Soccer, Time: ,Sat Nov 28 19:10:00 CET 2015, Time: ,Sat Nov 28 19:10:00 CET 2015, Event: ,Hapoel Beer Sheva v Hapoel Kfar Saba, Favorite: ,Hapoel Beer Sheva, 844519   size:237.46,Price: ,1.4,Hapoel Kfar Saba, 5239235   size:28.31,Price: ,10.5,The Draw, 58805   size:5.0,Price: ,4.8,ok
1.122049422, Sport: ,Soccer, Time: ,Sat Nov 28 14:00:00 CET 2015, Time: ,Sat Nov 28 14:00:00 CET 2015, Event: ,Apollon Smirnis v Kissamikos, Favorite: ,Apollon Smirnis, 5258432   size:6.21,Price: ,1.35,Kissamikos, 10309802   size:48.25,Price: ,6.0,The Draw, 58805   size:14.11,Price: ,3.4,ok
1.121971989, Sport: ,Soccer, Time: ,Sat Nov 28 17:30:00 CET 2015, Time: ,Sat Nov 28 17:30:00 CET 2015, Event: ,Ittihad Tanger v Olympic Safi, Favorite: ,Ittihad Tanger, 8717798   size:2.55,Price: ,2.0,Olympic Safi, 6666958   size:2.01,Price: ,4.4,The Draw, 58805   size:2.83,Price: ,3.15,x
1.121989940, Sport: ,Basketball, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Vojvodina v Borac, Favorite: ,Borac, 8400163   size:304.02,Price: ,1.14,Vojvodina, 1275949   size:236.45,Price: ,1.18,ok
1.121914555, Sport: ,Handball, Time: ,Sat Nov 28 17:30:00 CET 2015, Time: ,Sat Nov 28 17:30:00 CET 2015, Event: ,Celje Pivovarna Lasko v Kiel, Favorite: ,Kiel, 2027628   size:499.99,Price: ,1.08,Celje Pivovarna Lasko, 623997   size:18.0,Price: ,1.37,Draw, 330157   size:18.0,Price: ,1.37,x
1.121895153, Sport: ,Soccer, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Oeste v Paysandu, Favorite: ,Oeste, 3618374   size:50.0,Price: ,1.84,Paysandu, 189951   size:29.69,Price: ,5.1,The Draw, 58805   size:316.45,Price: ,3.7,x
1.122030471, Sport: ,Soccer, Time: ,Sat Nov 28 13:50:00 CET 2015, Time: ,Sat Nov 28 13:50:00 CET 2015, Event: ,Al Dhafra v Al Sharjah, Favorite: ,Al Dhafra, 3584581   size:2.34,Price: ,1.85,Al Sharjah, 3607226   size:2.71,Price: ,3.7,The Draw, 58805   size:14.64,Price: ,3.35,x
1.122031049, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,MC Oran v NA Hussein Dey, Favorite: ,MC Oran, 8306133   size:3.5,Price: ,1.61,NA Hussein Dey, 7650243   size:5.64,Price: ,4.2,The Draw, 58805   size:13.38,Price: ,3.15,ok
1.122030994, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,USM Alger v El Harrach, Favorite: ,USM Alger, 6505229   size:13.55,Price: ,1.63,El Harrach, 9212428   size:6.49,Price: ,3.7,The Draw, 58805   size:13.35,Price: ,3.25,ok
1.121970137, Sport: ,American Football, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Colorado @ Utah, Favorite: ,Utah, 532780   size:167.84,Price: ,1.15,Colorado, 998003   size:2.74,Price: ,6.2,ok
1.122031327, Sport: ,Soccer, Time: ,Sat Nov 28 14:00:00 CET 2015, Time: ,Sat Nov 28 14:00:00 CET 2015, Event: ,Corinthians U20 v Santos (Bra) U20, Favorite: ,Corinthians U20, 5187056   size:5.08,Price: ,1.05,Santos (Bra) U20, 6714730   size:5.08,Price: ,1.05,The Draw, 58805   size:14.18,Price: ,3.1,x
1.122027105, Sport: ,Soccer, Time: ,Sun Nov 29 00:15:00 CET 2015, Time: ,Sun Nov 29 00:15:00 CET 2015, Event: ,Lanus v Gimnasia La Plata, Favorite: ,Lanus, 194513   size:9.31,Price: ,2.46,Gimnasia La Plata, 1213581   size:60.0,Price: ,3.35,The Draw, 58805   size:7.12,Price: ,3.15,ok
1.121888334, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hampton and Richmond v Maidstone Utd, Favorite: ,Maidstone Utd, 6555176   size:6.73,Price: ,1.93,Hampton and Richmond, 2439369   size:6.94,Price: ,3.65,The Draw, 58805   size:6.9,Price: ,3.75,ok
1.121888174, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Metropolitan Police v Wealdstone, Favorite: ,Wealdstone, 2608900   size:2.55,Price: ,1.94,Metropolitan Police, 6217278   size:2.55,Price: ,3.65,The Draw, 58805   size:7.55,Price: ,3.7,ok
1.121967366, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,N Lubbecke v Lemgo, Favorite: ,Lemgo, 2201967   size:18.0,Price: ,1.04,N Lubbecke, 4196313   size:7.59,Price: ,1.68,Draw, 330157   size:18.0,Price: ,1.04,ok
1.121988741, Sport: ,Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Netherlands v Argentina, Favorite: ,Netherlands, 261994   size:0.0,Price: ,0.0,Argentina, 261989   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,x
1.121937168, Sport: ,Soccer, Time: ,Sat Nov 28 13:00:00 CET 2015, Time: ,Sat Nov 28 13:00:00 CET 2015, Event: ,Rozwoj Katowice v Wigry Suwalki, Favorite: ,Wigry Suwalki, 4935961   size:5.84,Price: ,2.78,Rozwoj Katowice, 7568776   size:13.19,Price: ,2.82,The Draw, 58805   size:11.96,Price: ,3.3,ok
1.121967359, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Balingen Weilstetten v Leipzig, Favorite: ,Leipzig, 3379969   size:18.0,Price: ,1.04,Balingen Weilstetten, 4551481   size:4.58,Price: ,1.71,Draw, 330157   size:18.0,Price: ,1.04,x
1.121985766, Sport: ,Basketball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Mega Vizura v Krka, Favorite: ,Mega Vizura, 7735104   size:7.55,Price: ,1.28,Krka, 3315294   size:5.0,Price: ,4.2,ok
1.122049360, Sport: ,Tennis, Time: ,Sat Nov 28 14:30:00 CET 2015, Time: ,Sat Nov 28 14:30:00 CET 2015, Event: ,Chiudinelli/Moser v Ball/Brown, Favorite: ,Ball/Brown, 10409550   size:2.92,Price: ,1.48,Chiudinelli/Moser, 10553269   size:2.55,Price: ,2.52,x
1.122030884, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Belouizdad v JS Saoura, Favorite: ,Belouizdad, 9221275   size:3.65,Price: ,1.54,JS Saoura, 7689172   size:5.58,Price: ,4.7,The Draw, 58805   size:17.74,Price: ,3.25,ok
