1.122431446, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Atletico Lugones SD v CD Tineo, Favorite: ,Atletico Lugones SD, 7747284   size:8.06,Price: ,1.88,CD Tineo, 10505024   size:61.76,Price: ,3.45,The Draw, 58805   size:67.19,Price: ,3.05,x
1.122431448, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Atletico Madrid II v CD San Fernando, Favorite: ,Atletico Madrid II, 10243043   size:5.99,Price: ,1.68,CD San Fernando, 9320398   size:21.93,Price: ,4.1,The Draw, 58805   size:31.63,Price: ,3.15,ok
1.122445235, Sport: ,Soccer, Time: ,Sun Jan 03 14:00:00 CET 2016, Time: ,Sun Jan 03 14:00:00 CET 2016, Event: ,Vasco de Gama U20 v Gauicurus U19, Favorite: ,Vasco de Gama U20, 5185919   size:10.61,Price: ,1.12,Gauicurus U19, 6967052   size:40.6,Price: ,8.4,The Draw, 58805   size:81.2,Price: ,5.0,x
1.122407638, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Ferrol v Atletico Astorga, Favorite: ,Ferrol, 309110   size:54.17,Price: ,1.39,Atletico Astorga, 8792395   size:2.68,Price: ,8.2,The Draw, 58805   size:2.55,Price: ,5.1,x
1.122407632, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Cacereno v CD Izarra, Favorite: ,Cacereno, 4144561   size:3.95,Price: ,1.96,CD Izarra, 9320407   size:15.38,Price: ,4.3,The Draw, 58805   size:2.55,Price: ,3.4,x
1.122431476, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Guadalcacin v Atletico Sanluqueno CF, Favorite: ,Atletico Sanluqueno CF, 6399727   size:57.64,Price: ,2.18,CD Guadalcacin, 8826856   size:39.08,Price: ,2.74,The Draw, 58805   size:34.35,Price: ,2.98,x
1.122407630, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Burgos v Pontevedra CF, Favorite: ,Burgos, 968180   size:93.31,Price: ,2.2,Pontevedra CF, 9414423   size:2.55,Price: ,3.55,The Draw, 58805   size:16.0,Price: ,3.25,x
1.122431472, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Gerena v CD Utrera, Favorite: ,CD Gerena, 7887463   size:68.02,Price: ,1.82,CD Utrera, 10185250   size:30.23,Price: ,3.25,The Draw, 58805   size:28.93,Price: ,3.35,ok
1.122431474, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Getxo v Pasala Kirol Elkartea, Favorite: ,CD Getxo, 7097874   size:3.69,Price: ,1.16,Pasala Kirol Elkartea, 9339252   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122446561, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Azuaga v CP Amanecer, Favorite: ,Azuaga, 10622040   size:9.22,Price: ,1.06,CP Amanecer, 10621823   size:9.22,Price: ,1.06,The Draw, 58805   size:50.0,Price: ,1.26,x
