1.121008233, Sport: ,Basketball, Time: ,Fri Oct 02 20:04:00 CEST 2015, Time: ,Fri Oct 02 20:04:00 CEST 2015, Event: ,Malbas v Jamtland, Favorite: ,Malbas, 10363137   size:4.31,Price: ,1.44,Jamtland, 7037208   size:15.75,Price: ,3.05,ok
1.121006892, Sport: ,Basketball, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Newcastle v London, Favorite: ,Newcastle, 6719050   size:213.16,Price: ,1.22,London, 6719045   size:3.89,Price: ,4.6,ok
1.120866877, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Standard (W) v KSK Heist (W), Favorite: ,Standard (W), 5862696   size:58.98,Price: ,1.07,KSK Heist (W), 10238295   size:5.0,Price: ,18.0,The Draw, 58805   size:6.26,Price: ,11.0,ok
1.120867207, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Memmingen v Viktoria Aschaffenburg, Favorite: ,Memmingen, 5862311   size:16.74,Price: ,2.36,Viktoria Aschaffenburg, 6516916   size:59.11,Price: ,3.05,The Draw, 58805   size:24.42,Price: ,3.75,x
1.120861827, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Le Havre v Niort, Favorite: ,Le Havre, 70446   size:271.92,Price: ,1.93,Niort, 309687   size:49.51,Price: ,5.3,The Draw, 58805   size:1083.3,Price: ,3.3,x
1.120869109, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Colmar v Belfort ASM, Favorite: ,Colmar, 1355043   size:28.33,Price: ,2.8,Belfort ASM, 6941420   size:34.45,Price: ,2.96,The Draw, 58805   size:25.23,Price: ,2.98,x
1.120862191, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Nimes v Red Star, Favorite: ,Nimes, 77586   size:9.55,Price: ,2.62,Red Star, 496950   size:90.32,Price: ,3.3,The Draw, 58805   size:1413.73,Price: ,3.05,x
1.120866670, Sport: ,Soccer, Time: ,Fri Oct 02 20:45:00 CEST 2015, Time: ,Fri Oct 02 20:45:00 CEST 2015, Event: ,Guiseley v Lincoln, Favorite: ,Lincoln, 148737   size:26.69,Price: ,2.48,Guiseley, 256291   size:360.07,Price: ,3.1,The Draw, 58805   size:55.5,Price: ,3.55,ok
1.121006851, Sport: ,Basketball, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Leeds v Bristol, Favorite: ,Bristol, 8862088   size:97.98,Price: ,1.24,Leeds, 8862089   size:10.76,Price: ,4.1,x
1.120866156, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Jagiellonia Bialystock v Lechia Gdansk, Favorite: ,Jagiellonia Bialystock, 7391394   size:5.39,Price: ,2.6,Lechia Gdansk, 3143305   size:35.21,Price: ,3.05,The Draw, 58805   size:13.17,Price: ,3.45,x
1.121003945, Sport: ,Basketball, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Graz v Traiskirchen, Favorite: ,Traiskirchen, 1387301   size:2.55,Price: ,1.91,Graz, 7036685   size:5.12,Price: ,1.95,ok
1.120869182, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Epinal v Dunkerque, Favorite: ,Dunkerque, 2250259   size:4.06,Price: ,2.4,Epinal, 2740568   size:36.28,Price: ,3.55,The Draw, 58805   size:142.79,Price: ,3.1,x
1.121003946, Sport: ,Basketball, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Furstenfeld v Wels, Favorite: ,Furstenfeld, 7036686   size:3.1,Price: ,1.61,Wels, 7036691   size:518.39,Price: ,2.58,ok
1.121003943, Sport: ,Basketball, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Gussing v Zepter Vienna, Favorite: ,Gussing, 7036689   size:42.16,Price: ,1.32,Zepter Vienna, 7036692   size:7.46,Price: ,3.3,ok
1.121003944, Sport: ,Basketball, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Kapfenberg v Klosterneuburg, Favorite: ,Kapfenberg, 7036688   size:48.98,Price: ,1.25,Klosterneuburg, 7036697   size:4.49,Price: ,4.0,ok
1.120869264, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Frejus St-Raphael v Orleans, Favorite: ,Orleans, 2225922   size:6.65,Price: ,2.66,Frejus St-Raphael, 6063342   size:4.98,Price: ,3.35,The Draw, 58805   size:19.39,Price: ,2.94,x
1.120869184, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Sedan v Beziers, Favorite: ,Sedan, 44792   size:5.0,Price: ,2.18,Beziers, 8076581   size:83.72,Price: ,4.4,The Draw, 58805   size:3.26,Price: ,3.0,ok
1.120869262, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Chambly Thelle v Strasbourg, Favorite: ,Strasbourg, 51404   size:299.56,Price: ,2.08,Chambly Thelle, 6063132   size:2.68,Price: ,4.6,The Draw, 58805   size:39.12,Price: ,3.2,ok
1.120964821, Sport: ,American Football, Time: ,Sat Oct 03 01:30:00 CEST 2015, Time: ,Sat Oct 03 01:30:00 CEST 2015, Event: ,Calgary @ Hamilton, Favorite: ,Calgary, 2026163   size:3.36,Price: ,1.85,Hamilton, 2014691   size:4.95,Price: ,2.06,ok
1.120967543, Sport: ,Soccer, Time: ,Sat Oct 03 00:00:00 CEST 2015, Time: ,Sat Oct 03 00:00:00 CEST 2015, Event: ,Lobos BUAP v Universidad Guadalajara, Favorite: ,Lobos BUAP, 6138085   size:3.07,Price: ,2.02,Universidad Guadalajara, 6533140   size:4.98,Price: ,3.6,The Draw, 58805   size:28.44,Price: ,3.6,ok
1.121036371, Sport: ,Tennis, Time: ,Sat Oct 03 09:00:00 CEST 2015, Time: ,Sat Oct 03 09:00:00 CEST 2015, Event: ,Berdych v Robredo, Favorite: ,Tomas Berdych, 2256470   size:502.63,Price: ,1.24,Tommy Robredo, 2257298   size:20.24,Price: ,4.8,ok
