1.122668377, Sport: ,Ice Hockey, Time: ,Fri Jan 22 18:30:00 CET 2016, Time: ,Fri Jan 22 18:30:00 CET 2016, Event: ,HC Znojmo v Vienna Capitals, Favorite: ,HC Znojmo, 536202   size:2.64,Price: ,1.03,Vienna Capitals, 563229   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122619219, Sport: ,Soccer, Time: ,Fri Jan 22 19:30:00 CET 2016, Time: ,Fri Jan 22 19:30:00 CET 2016, Event: ,Anderlecht (Y) v Standard Liege (Y), Favorite: ,Standard Liege (Y), 7159118   size:5.96,Price: ,1.86,Anderlecht (Y), 7174785   size:24.55,Price: ,3.15,The Draw, 58805   size:4.16,Price: ,4.6
1.122590868, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Chateauroux v Dunkerque, Favorite: ,Chateauroux, 70469   size:45.34,Price: ,2.64,Dunkerque, 2250259   size:6.93,Price: ,2.96,The Draw, 58805   size:11.7,Price: ,3.3
1.122590870, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Avranches v CA Bastia, Favorite: ,Avranches, 2224930   size:7.27,Price: ,2.58,CA Bastia, 6601801   size:20.68,Price: ,3.2,The Draw, 58805   size:6.82,Price: ,3.2
1.122702300, Sport: ,Soccer, Time: ,Sat Jan 23 00:30:00 CET 2016, Time: ,Sat Jan 23 00:30:00 CET 2016, Event: ,Zamora v Urena, Favorite: ,Zamora, 565025   size:21.94,Price: ,1.53,Urena, 9990099   size:49.0,Price: ,6.4,The Draw, 58805   size:33.68,Price: ,4.2
1.122722277, Sport: ,Basketball, Time: ,Sat Jan 23 01:00:00 CET 2016, Time: ,Sat Jan 23 01:00:00 CET 2016, Event: ,Canisius @ Niagara, Favorite: ,Canisius, 671853   size:2.55,Price: ,1.49,Niagara, 707382   size:17.36,Price: ,2.62
1.122701274, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Frosinone Calcio U19 v Empoli FC U19, Favorite: ,Empoli FC U19, 6641812   size:56.05,Price: ,2.18,Frosinone Calcio U19, 7302494   size:39.37,Price: ,2.68,The Draw, 58805   size:28.14,Price: ,3.35
1.122706436, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Pogon Szczecin v Kotwica Kolobrzeg, Favorite: ,Pogon Szczecin, 46953   size:2.55,Price: ,1.26,Kotwica Kolobrzeg, 10103858   size:9.72,Price: ,7.8,The Draw, 58805   size:15.03,Price: ,5.4
1.122706588, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Polonia Bytom v GKS Katowice, Favorite: ,GKS Katowice, 3351396   size:2.55,Price: ,1.62,Polonia Bytom, 2486928   size:20.04,Price: ,4.3,The Draw, 58805   size:25.93,Price: ,3.55
1.122701136, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,US Salernitana 1919 U19 v Vicenza Calcio U19, Favorite: ,US Salernitana 1919 U19, 8547303   size:47.93,Price: ,2.38,Vicenza Calcio U19, 6673838   size:44.69,Price: ,2.48,The Draw, 58805   size:30.06,Price: ,3.2
1.122706514, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Pohang Steelers v Ang Thong FC, Favorite: ,Pohang Steelers, 1363823   size:7.92,Price: ,1.07,Ang Thong FC, 8048256   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122707181, Sport: ,Soccer, Time: ,Sat Jan 23 12:00:00 CET 2016, Time: ,Sat Jan 23 12:00:00 CET 2016, Event: ,Zaglebie Sosnowiec v MFK Karvina, Favorite: ,MFK Karvina, 3358864   size:51.68,Price: ,2.28,Zaglebie Sosnowiec, 2486936   size:41.34,Price: ,2.6,The Draw, 58805   size:30.06,Price: ,3.2
1.122707329, Sport: ,Soccer, Time: ,Sat Jan 23 13:00:00 CET 2016, Time: ,Sat Jan 23 13:00:00 CET 2016, Event: ,Zawisza Bydgoszcz v Wisla Plock, Favorite: ,Zawisza Bydgoszcz, 4936018   size:2.55,Price: ,2.32,Wisla Plock, 487520   size:41.34,Price: ,2.6,The Draw, 58805   size:29.39,Price: ,3.25
1.122701219, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,AC Chievo Verona U19 v Cagliari Calcio U19, Favorite: ,AC Chievo Verona U19, 6796818   size:66.15,Price: ,1.74,Cagliari Calcio U19, 6658303   size:24.95,Price: ,3.65,The Draw, 58805   size:26.99,Price: ,3.45
1.122701330, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,Delfino Pescara U19 v Latina U19, Favorite: ,Delfino Pescara U19, 6639019   size:66.15,Price: ,1.59,Latina U19, 7321999   size:20.66,Price: ,4.2,The Draw, 58805   size:24.05,Price: ,3.75
1.122678004, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Harrow Borough v Billericay Town, Favorite: ,Billericay Town, 1034114   size:20.85,Price: ,2.2,Harrow Borough, 5051237   size:2.63,Price: ,2.7,The Draw, 58805   size:10.17,Price: ,3.6
1.122678019, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Staines Town v Hendon, Favorite: ,Hendon, 1034127   size:2.31,Price: ,2.4,Staines Town, 2608906   size:2.29,Price: ,2.42,The Draw, 58805   size:12.15,Price: ,3.5
1.122678026, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Ashton Utd v Grantham Town, Favorite: ,Ashton Utd, 5800540   size:3.99,Price: ,1.39,Grantham Town, 6770558   size:5.2,Price: ,6.0,The Draw, 58805   size:3.18,Price: ,4.4
1.122678021, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,VCD Athletic v Enfield Town, Favorite: ,Enfield Town, 7133935   size:3.15,Price: ,1.75,VCD Athletic, 10525359   size:2.63,Price: ,3.8,The Draw, 58805   size:5.13,Price: ,4.0
1.122678036, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Frickley Athletic v Ramsbottom Utd, Favorite: ,Frickley Athletic, 7396836   size:3.43,Price: ,1.61,Ramsbottom Utd, 7885854   size:21.97,Price: ,4.2,The Draw, 58805   size:25.53,Price: ,3.75
1.122678034, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Darlington v Colwyn Bay, Favorite: ,Darlington, 69713   size:3.82,Price: ,1.45,Colwyn Bay, 2662205   size:14.06,Price: ,5.7,The Draw, 58805   size:4.14,Price: ,4.2
