1.122164990, Sport: ,Soccer, Time: ,Sun Dec 06 12:30:00 CET 2015, Time: ,Sun Dec 06 12:30:00 CET 2015, Event: ,Sporting de Huelva (W) v Fundacion Albacete (W), Favorite: ,Sporting de Huelva (W), 5227757   size:4.27,Price: ,1.25,Fundacion Albacete (W), 7156577   size:5.89,Price: ,5.9,The Draw, 58805   size:37.05,Price: ,4.5,x
1.122103799, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,FC Jumilla v Linares Deportivo, Favorite: ,FC Jumilla, 8216058   size:4.85,Price: ,2.76,Linares Deportivo, 7977266   size:5.27,Price: ,2.9,The Draw, 58805   size:2.55,Price: ,3.15,x
1.122124010, Sport: ,Basketball, Time: ,Sun Dec 06 23:30:00 CET 2015, Time: ,Sun Dec 06 23:30:00 CET 2015, Event: ,Morgan State @ Cincinnati, Favorite: ,Morgan State, 723293   size:2.77,Price: ,1.03,Cincinnati, 332214   size:2.77,Price: ,1.03,x
1.122103797, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,FC Cartagena v La Hoya Lorca, Favorite: ,FC Cartagena, 5740008   size:2.55,Price: ,2.04,La Hoya Lorca, 6415466   size:5.3,Price: ,4.3,The Draw, 58805   size:11.11,Price: ,3.25,ok
1.122124016, Sport: ,Basketball, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,Davidson @ North Carolina, Favorite: ,Davidson, 705251   size:2.77,Price: ,1.03,North Carolina, 332652   size:2.77,Price: ,1.03,x
1.121970431, Sport: ,American Football, Time: ,Sun Dec 06 19:00:00 CET 2015, Time: ,Sun Dec 06 19:00:00 CET 2015, Event: ,Baltimore @ Miami, Favorite: ,Miami Dolphins, 50201   size:93.32,Price: ,1.56,Baltimore Ravens, 50205   size:123.06,Price: ,2.74,ok
1.122103795, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Algeciras v Marbella, Favorite: ,Algeciras, 516260   size:2.55,Price: ,2.42,Marbella, 2250362   size:2.77,Price: ,3.45,The Draw, 58805   size:3.83,Price: ,3.2,ok
1.122103793, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Olimpic Xativa v Villarreal B, Favorite: ,Villarreal B, 2522842   size:74.29,Price: ,2.48,Olimpic Xativa, 5213879   size:2.55,Price: ,3.3,The Draw, 58805   size:2.55,Price: ,3.2,x
1.122103791, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Huracan CF v Reus Deportiu, Favorite: ,Huracan CF, 5759749   size:35.38,Price: ,2.62,Reus Deportiu, 4136691   size:4.29,Price: ,3.05,The Draw, 58805   size:18.12,Price: ,3.1,x
1.122046565, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Fiorentina v Udinese, Favorite: ,Fiorentina, 676467   size:723.32,Price: ,1.52,Udinese, 215821   size:75.04,Price: ,7.6,The Draw, 58805   size:91.73,Price: ,4.6,ok
