1.121040468, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Russia v Montenegro, Favorite: ,Russia, 25907   size:2521.71,Price: ,1.34,Montenegro, 2345367   size:9.22,Price: ,13.5,The Draw, 58805   size:275.95,Price: ,5.5,ok
1.121070678, Sport: ,Soccer, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Charlton U21 v Birmingham U21, Favorite: ,Charlton U21, 6808104   size:13.47,Price: ,1.11,Birmingham U21, 6813025   size:13.47,Price: ,1.13,The Draw, 58805   size:4.04,Price: ,2.12,x
1.121102353, Sport: ,Soccer, Time: ,Mon Oct 12 00:30:00 CEST 2015, Time: ,Mon Oct 12 00:30:00 CEST 2015, Event: ,Patronato v Chacarita, Favorite: ,Patronato, 5178628   size:15.0,Price: ,1.02,Chacarita, 192084   size:15.0,Price: ,1.02,The Draw, 58805   size:32.81,Price: ,1.02,ok
1.121197802, Sport: ,Tennis, Time: ,Mon Oct 12 12:45:00 CEST 2015, Time: ,Mon Oct 12 12:45:00 CEST 2015, Event: ,Boltz v Jahn, Favorite: ,Sebastien Boltz, 9260156   size:39.45,Price: ,1.08,Jeremy Jahn, 7234181   size:3.08,Price: ,1.08,x
1.121197084, Sport: ,Tennis, Time: ,Mon Oct 12 15:30:00 CEST 2015, Time: ,Mon Oct 12 15:30:00 CEST 2015, Event: ,Bourgue/Hamou v Ahouda/Idmbarek, Favorite: ,Bourgue/Hamou, 10384042   size:6.16,Price: ,1.04,Ahouda/Idmbarek, 8622426   size:6.16,Price: ,1.04,ok
1.121196713, Sport: ,Tennis, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Kops-Jones/Spears v Groenefeld/Rosolska, Favorite: ,Kops-Jones/Spears, 3636565   size:67.36,Price: ,1.46,Groenefeld/Rosolska, 8306783   size:44.0,Price: ,2.34,ok
1.121188806, Sport: ,Tennis, Time: ,Mon Oct 12 05:30:00 CEST 2015, Time: ,Mon Oct 12 05:30:00 CEST 2015, Event: ,Linette v Putintseva, Favorite: ,Yulia Putintseva, 4259580   size:65.0,Price: ,1.82,Magda Linette, 7083215   size:5.0,Price: ,2.14,x
1.121041550, Sport: ,Soccer, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,France U19 v Netherlands U19, Favorite: ,France U19, 459518   size:2.54,Price: ,1.82,Netherlands U19, 2107168   size:2.54,Price: ,3.1,The Draw, 58805   size:2.54,Price: ,3.2,x
1.121194773, Sport: ,Soccer, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Nasaf v Neftchi Fargona, Favorite: ,Nasaf, 4692582   size:10.56,Price: ,1.32,Neftchi Fargona, 4170422   size:10.56,Price: ,2.0,The Draw, 58805   size:10.56,Price: ,2.7,ok
1.121114744, Sport: ,Ice Hockey, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Avangard v Amur, Favorite: ,Avangard, 2558172   size:154.0,Price: ,1.51,Amur, 2240061   size:20.0,Price: ,5.9,Tie, 60104   size:70.0,Price: ,5.2,x
1.121190449, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,T Daniel v Cachin, Favorite: ,Taro Daniel, 8173434   size:2.54,Price: ,1.1,Pedro Cachin, 8461316   size:2.54,Price: ,1.29,ok
1.121188655, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Anderson/Chardy v Cuevas/Troicki, Favorite: ,Anderson/Chardy, 8925124   size:2.54,Price: ,1.5,Cuevas/Troicki, 10380733   size:2.01,Price: ,2.48,ok
1.121188018, Sport: ,Tennis, Time: ,Mon Oct 12 07:30:00 CEST 2015, Time: ,Mon Oct 12 07:30:00 CEST 2015, Event: ,Klizan v Ze Zhang, Favorite: ,Martin Klizan, 2496035   size:8190.2,Price: ,1.39,Ze Zhang, 5021895   size:22.34,Price: ,3.35,ok
1.121188816, Sport: ,Tennis, Time: ,Mon Oct 12 07:30:00 CEST 2015, Time: ,Mon Oct 12 07:30:00 CEST 2015, Event: ,Kulichkova v Tig, Favorite: ,Elizaveta Kulichkova, 7795296   size:8.73,Price: ,1.66,Patricia Maria Tig, 8679189   size:84.3,Price: ,2.48,ok
1.121161853, Sport: ,Basketball, Time: ,Mon Oct 12 02:00:00 CEST 2015, Time: ,Mon Oct 12 02:00:00 CEST 2015, Event: ,Ferro Carril Oeste v Penarol, Favorite: ,Ferro Carril Oeste, 10312212   size:4.46,Price: ,1.06,Penarol, 6719113   size:4.46,Price: ,1.06,x
1.121192987, Sport: ,Soccer, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Vejle BK (Res) v FC Midtjylland (Res), Favorite: ,FC Midtjylland (Res), 5372986   size:10.56,Price: ,1.22,Vejle BK (Res), 5463818   size:10.56,Price: ,1.6,The Draw, 58805   size:10.56,Price: ,3.3,x
1.120890059, Sport: ,American Football, Time: ,Mon Oct 12 02:30:00 CEST 2015, Time: ,Mon Oct 12 02:30:00 CEST 2015, Event: ,San Francisco @ New York Giants, Favorite: ,New York Giants, 50185   size:5011.74,Price: ,1.34,San Francisco 49ers, 50197   size:95.17,Price: ,3.9,ok
1.121188099, Sport: ,Tennis, Time: ,Mon Oct 12 07:30:00 CEST 2015, Time: ,Mon Oct 12 07:30:00 CEST 2015, Event: ,Bautista Agut v Garcia-Lopez, Favorite: ,Roberto Bautista Agut, 4290403   size:70.5,Price: ,1.58,Guillermo Garcia-Lopez, 8260126   size:51.19,Price: ,2.7,ok
1.121188891, Sport: ,Tennis, Time: ,Mon Oct 12 07:00:00 CEST 2015, Time: ,Mon Oct 12 07:00:00 CEST 2015, Event: ,Hibino v T Pereira, Favorite: ,Nao Hibino, 7683152   size:25.2,Price: ,1.55,Teliana Pereira, 6390242   size:6.73,Price: ,2.74,x
1.121203734, Sport: ,Tennis, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Duran/Gonzalez v Bagnis/Trungelliti, Favorite: ,Duran/Gonzalez, 8015602   size:6.16,Price: ,1.04,Bagnis/Trungelliti, 8176534   size:6.16,Price: ,1.04,ok
1.121114749, Sport: ,Ice Hockey, Time: ,Mon Oct 12 15:30:00 CEST 2015, Time: ,Mon Oct 12 15:30:00 CEST 2015, Event: ,Barys v Vladivostok, Favorite: ,Barys, 3328562   size:68.0,Price: ,2.16,Vladivostok, 7597246   size:53.0,Price: ,3.0,Tie, 60104   size:62.99,Price: ,4.0,ok
1.121114626, Sport: ,Ice Hockey, Time: ,Mon Oct 12 01:00:00 CEST 2015, Time: ,Mon Oct 12 01:00:00 CEST 2015, Event: ,Montreal @ Ottawa, Favorite: ,Montreal, 2112345   size:18.76,Price: ,2.6,Ottawa, 2108072   size:18.48,Price: ,2.6,Tie, 60104   size:231.03,Price: ,3.75,ok
1.121188498, Sport: ,Tennis, Time: ,Mon Oct 12 06:00:00 CEST 2015, Time: ,Mon Oct 12 06:00:00 CEST 2015, Event: ,Du Lee v Fabbiano, Favorite: ,Thomas Fabbiano, 3019240   size:26.94,Price: ,1.44,Duckhee Lee, 8505197   size:62.66,Price: ,3.15,ok
1.121188894, Sport: ,Tennis, Time: ,Mon Oct 12 08:30:00 CEST 2015, Time: ,Mon Oct 12 08:30:00 CEST 2015, Event: ,Riske v X Han, Favorite: ,Alison Riske, 4566011   size:410.66,Price: ,1.38,Xinyun Han, 3172285   size:2.78,Price: ,3.45,ok
1.121195694, Sport: ,Tennis, Time: ,Mon Oct 12 09:30:00 CEST 2015, Time: ,Mon Oct 12 09:30:00 CEST 2015, Event: ,Gigounon/Mertens v Lee/Peng, Favorite: ,Gigounon/Mertens, 10383943   size:6.16,Price: ,1.04,Lee/Peng, 10407909   size:6.16,Price: ,1.04,x
