1.121215480, Sport: ,Tennis, Time: ,Thu Oct 15 12:30:00 CEST 2015, Time: ,Thu Oct 15 12:30:00 CEST 2015, Event: ,Lopez/Mirnyi v Rojer/Tecau, Favorite: ,Rojer/Tecau, 8176467   size:87.08,Price: ,1.44,Lopez/Mirnyi, 8329155   size:7.54,Price: ,2.48,x
1.121215484, Sport: ,Tennis, Time: ,Thu Oct 15 09:15:00 CEST 2015, Time: ,Thu Oct 15 09:15:00 CEST 2015, Event: ,Fayziev v Satral, Favorite: ,Jan Satral, 8490613   size:14.16,Price: ,1.38,Sanjar Fayziev, 8304051   size:32.42,Price: ,3.2,ok
1.121244695, Sport: ,Tennis, Time: ,Fri Oct 16 01:00:00 CEST 2015, Time: ,Fri Oct 16 01:00:00 CEST 2015, Event: ,Smyczek v Fritz, Favorite: ,Tim Smyczek, 2848631   size:38.26,Price: ,1.6,Taylor Fritz, 10279360   size:18.18,Price: ,2.28,x
1.121113805, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,Karlskoga v Sundsvall, Favorite: ,Karlskoga, 6267380   size:151.01,Price: ,1.43,Sundsvall, 247097   size:28.91,Price: ,5.8,Tie, 60104   size:27.75,Price: ,6.0,ok
1.121225156, Sport: ,Tennis, Time: ,Thu Oct 15 07:05:00 CEST 2015, Time: ,Thu Oct 15 07:05:00 CEST 2015, Event: ,Jor Thompson v L Huang, Favorite: ,Jordan Thompson, 8145584   size:839.64,Price: ,1.29,Liang-Chi Huang, 8259002   size:207.76,Price: ,4.3,ok
1.121229359, Sport: ,Soccer, Time: ,Thu Oct 15 23:30:00 CEST 2015, Time: ,Thu Oct 15 23:30:00 CEST 2015, Event: ,Cruzeiro U20 v Flamengo U20, Favorite: ,Cruzeiro U20, 5188319   size:3.48,Price: ,1.07,Flamengo U20, 6006854   size:3.48,Price: ,1.07,The Draw, 58805   size:5.38,Price: ,2.88,ok
1.121113800, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,Almtuna v Mora, Favorite: ,Almtuna, 539697   size:134.73,Price: ,2.36,Mora, 247115   size:58.5,Price: ,2.76,Tie, 60104   size:3.95,Price: ,4.0,x
1.121113803, Sport: ,Soccer, Time: ,Thu Oct 15 15:30:00 CEST 2015, Time: ,Thu Oct 15 15:30:00 CEST 2015, Event: ,NorthEast Utd FC v FC Goa, Favorite: ,FC Goa, 8900343   size:2.63,Price: ,2.34,NorthEast Utd FC, 10360661   size:5.12,Price: ,3.35,The Draw, 58805   size:28.19,Price: ,3.3,ok
1.121238061, Sport: ,Tennis, Time: ,Thu Oct 15 15:30:00 CEST 2015, Time: ,Thu Oct 15 15:30:00 CEST 2015, Event: ,Barthel v Krunic, Favorite: ,Mona Barthel, 5056975   size:4.04,Price: ,1.72,Aleksandra Krunic, 5300820   size:101.01,Price: ,2.24,x
1.121113407, Sport: ,Soccer, Time: ,Thu Oct 15 17:30:00 CEST 2015, Time: ,Thu Oct 15 17:30:00 CEST 2015, Event: ,HIFK v Lahti, Favorite: ,Lahti, 139506   size:4.59,Price: ,2.68,HIFK, 3847575   size:15.0,Price: ,2.9,The Draw, 58805   size:490.21,Price: ,3.35,x
1.121113808, Sport: ,Soccer, Time: ,Thu Oct 15 20:30:00 CEST 2015, Time: ,Thu Oct 15 20:30:00 CEST 2015, Event: ,Ponferradina v Lugo, Favorite: ,Ponferradina, 2028828   size:234.55,Price: ,2.32,Lugo, 2081063   size:402.69,Price: ,3.65,The Draw, 58805   size:189.52,Price: ,3.3,x
1.121228596, Sport: ,Basketball, Time: ,Thu Oct 15 20:00:00 CEST 2015, Time: ,Thu Oct 15 20:00:00 CEST 2015, Event: ,Klosterneuburg v Gmunden, Favorite: ,Klosterneuburg, 7036697   size:8.12,Price: ,1.03,Gmunden, 2638634   size:5.66,Price: ,1.15,ok
1.121121310, Sport: ,Soccer, Time: ,Fri Oct 16 02:45:00 CEST 2015, Time: ,Fri Oct 16 02:45:00 CEST 2015, Event: ,Santa Fe v Once Caldas, Favorite: ,Santa Fe, 4908158   size:3.64,Price: ,1.7,Once Caldas, 816112   size:71.65,Price: ,6.2,The Draw, 58805   size:6.75,Price: ,3.45,ok
1.121215039, Sport: ,Tennis, Time: ,Thu Oct 15 07:00:00 CEST 2015, Time: ,Thu Oct 15 07:00:00 CEST 2015, Event: ,Kovinic v T Pereira, Favorite: ,Danka Kovinic, 7414059   size:195.97,Price: ,1.78,Teliana Pereira, 6390242   size:2.69,Price: ,2.2,ok
1.121113095, Sport: ,Soccer, Time: ,Fri Oct 16 00:30:00 CEST 2015, Time: ,Fri Oct 16 00:30:00 CEST 2015, Event: ,Corinthians v Goias, Favorite: ,Corinthians, 198136   size:586.8,Price: ,1.5,Goias, 198131   size:24.42,Price: ,8.2,The Draw, 58805   size:113.03,Price: ,4.4,ok
1.121241297, Sport: ,Tennis, Time: ,Thu Oct 15 15:30:00 CEST 2015, Time: ,Thu Oct 15 15:30:00 CEST 2015, Event: ,Munoz-De La Nava v Carballes Baena, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:217.95,Price: ,1.85,Roberto Carballes Baena, 7185192   size:63.57,Price: ,1.85,ok
1.121110022, Sport: ,Ice Hockey, Time: ,Thu Oct 15 17:30:00 CEST 2015, Time: ,Thu Oct 15 17:30:00 CEST 2015, Event: ,HPK v Ilves, Favorite: ,HPK, 66424   size:102.0,Price: ,2.46,Ilves, 66426   size:80.63,Price: ,2.6,Tie, 60104   size:110.0,Price: ,4.1,x
1.121110027, Sport: ,Ice Hockey, Time: ,Thu Oct 15 17:30:00 CEST 2015, Time: ,Thu Oct 15 17:30:00 CEST 2015, Event: ,JYP v KalPa, Favorite: ,JYP, 66423   size:50.93,Price: ,1.86,KalPa, 275250   size:51.0,Price: ,3.95,Tie, 60104   size:20.0,Price: ,4.4,x
1.121255288, Sport: ,Tennis, Time: ,Fri Oct 16 00:00:00 CEST 2015, Time: ,Fri Oct 16 00:00:00 CEST 2015, Event: ,Ball/Brown v Dancevic/Laaksonen, Favorite: ,Ball/Brown, 10409550   size:6.09,Price: ,1.04,Dancevic/Laaksonen, 10409553   size:6.09,Price: ,1.04,ok
1.121107918, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,Karlskrona v Linkoping, Favorite: ,Linkoping, 260829   size:143.29,Price: ,1.73,Karlskrona, 5427583   size:7.08,Price: ,3.55,Tie, 60104   size:109.87,Price: ,4.1,ok
1.121237754, Sport: ,Tennis, Time: ,Thu Oct 15 10:00:00 CEST 2015, Time: ,Thu Oct 15 10:00:00 CEST 2015, Event: ,Jurak/Melichar v Kang/Zhang, Favorite: ,Jurak/Melichar, 10407833   size:5.66,Price: ,1.16,Kang/Zhang, 10407835   size:35.97,Price: ,4.8,ok
1.121107912, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,Farjestad v Djurgardens, Favorite: ,Farjestad, 237392   size:115.5,Price: ,1.87,Djurgardens, 988206   size:180.29,Price: ,3.8,Tie, 60104   size:102.0,Price: ,4.5,x
1.121224609, Sport: ,Tennis, Time: ,Thu Oct 15 12:00:00 CEST 2015, Time: ,Thu Oct 15 12:00:00 CEST 2015, Event: ,V Williams v Yaf Wang, Favorite: ,Venus Williams, 2309518   size:188.52,Price: ,1.18,Yafan Wang, 7695509   size:24.93,Price: ,6.2,ok
1.121255283, Sport: ,Tennis, Time: ,Thu Oct 15 23:15:00 CEST 2015, Time: ,Thu Oct 15 23:15:00 CEST 2015, Event: ,Cuevas/Kicker v Andreozzi/Galdos, Favorite: ,Cuevas/Kicker, 10409113   size:6.09,Price: ,1.04,Andreozzi/Galdos, 8553209   size:6.09,Price: ,1.04,x
1.121232313, Sport: ,Tennis, Time: ,Thu Oct 15 09:00:00 CEST 2015, Time: ,Thu Oct 15 09:00:00 CEST 2015, Event: ,Arruabarrena/Klepac v Ki/Ng, Favorite: ,Arruabarrena/Klepac, 10108710   size:91.47,Price: ,1.02,Ki/Ng, 10407856   size:2.85,Price: ,26.0,ok
1.121107907, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,Orebro v Vaxjo Lakers, Favorite: ,Orebro, 247111   size:97.26,Price: ,2.22,Vaxjo Lakers, 539706   size:54.0,Price: ,2.88,Tie, 60104   size:99.0,Price: ,4.4,x
1.121237608, Sport: ,Tennis, Time: ,Thu Oct 15 12:00:00 CEST 2015, Time: ,Thu Oct 15 12:00:00 CEST 2015, Event: ,Chuang/Kumkhum v Cornet/Shvedova, Favorite: ,Cornet/Shvedova, 10407862   size:5.0,Price: ,1.32,Chuang/Kumkhum, 8241921   size:7.22,Price: ,3.15,ok
1.121225462, Sport: ,Tennis, Time: ,Thu Oct 15 10:30:00 CEST 2015, Time: ,Thu Oct 15 10:30:00 CEST 2015, Event: ,Lertpitaksinch/Plipuech v Jans-Ignacik/Rodionova, Favorite: ,Jans-Ignacik/Rodionova, 10302166   size:4.64,Price: ,1.31,Lertpitaksinch/Plipuech, 9220478   size:6.73,Price: ,3.75,ok
1.121231989, Sport: ,Tennis, Time: ,Thu Oct 15 14:00:00 CEST 2015, Time: ,Thu Oct 15 14:00:00 CEST 2015, Event: ,J Larsson v Van Uytvanck, Favorite: ,Johanna Larsson, 3220168   size:52.37,Price: ,1.93,Alison Van Uytvanck, 5548385   size:72.0,Price: ,1.99,ok
1.121232317, Sport: ,Tennis, Time: ,Thu Oct 15 07:30:00 CEST 2015, Time: ,Thu Oct 15 07:30:00 CEST 2015, Event: ,Bryan/Bryan v Cabal/Farah, Favorite: ,Bryan/Bryan, 1502771   size:15.57,Price: ,1.3,Cabal/Farah, 6098095   size:2.69,Price: ,4.1,x
1.121107902, Sport: ,Ice Hockey, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,MoDo v Brynas, Favorite: ,Brynas, 60812   size:108.01,Price: ,2.36,MODO, 60824   size:82.36,Price: ,2.62,Tie, 60104   size:106.29,Price: ,4.3,ok
1.121215295, Sport: ,Tennis, Time: ,Thu Oct 15 09:15:00 CEST 2015, Time: ,Thu Oct 15 09:15:00 CEST 2015, Event: ,Istomin v Marterer, Favorite: ,Denis Istomin, 2765780   size:4.44,Price: ,1.13,Maximilian Marterer, 7335940   size:13.91,Price: ,7.0,ok
1.121113555, Sport: ,Soccer, Time: ,Thu Oct 15 20:45:00 CEST 2015, Time: ,Thu Oct 15 20:45:00 CEST 2015, Event: ,Norwich U21 v Tottenham U21, Favorite: ,Tottenham U21, 6615322   size:7.55,Price: ,2.22,Norwich U21, 6667764   size:7.55,Price: ,2.28,The Draw, 58805   size:4.02,Price: ,3.4,ok
1.121113796, Sport: ,Ice Hockey, Time: ,Thu Oct 15 18:00:00 CEST 2015, Time: ,Thu Oct 15 18:00:00 CEST 2015, Event: ,Zvolen v Orange 20, Favorite: ,Zvolen, 2078582   size:9.69,Price: ,1.24,Orange 20, 3344308   size:37.43,Price: ,8.2,Tie, 60104   size:41.46,Price: ,7.6,ok
1.121244665, Sport: ,Tennis, Time: ,Thu Oct 15 21:30:00 CEST 2015, Time: ,Thu Oct 15 21:30:00 CEST 2015, Event: ,Elias/Olivo v Dellien/Hernandez-Ferna, Favorite: ,Elias/Olivo, 10409115   size:6.09,Price: ,1.04,Dellien/Hernandez-Ferna, 10079827   size:6.09,Price: ,1.04,x
1.121113674, Sport: ,Soccer, Time: ,Thu Oct 15 16:30:00 CEST 2015, Time: ,Thu Oct 15 16:30:00 CEST 2015, Event: ,Frankfurt (W) v Standard (W), Favorite: ,Frankfurt (W), 2983170   size:33.84,Price: ,1.07,Standard (W), 5862696   size:17.43,Price: ,26.0,The Draw, 58805   size:3.08,Price: ,12.0,ok
1.121215055, Sport: ,Tennis, Time: ,Thu Oct 15 10:15:00 CEST 2015, Time: ,Thu Oct 15 10:15:00 CEST 2015, Event: ,Ehara v Lamasine, Favorite: ,Tristan Lamasine, 8428332   size:5.66,Price: ,1.61,Hiroyasu Ehara, 5858044   size:13.47,Price: ,2.48,ok
1.121115058, Sport: ,Ice Hockey, Time: ,Fri Oct 16 01:05:00 CEST 2015, Time: ,Fri Oct 16 01:05:00 CEST 2015, Event: ,Nashville @ NY Islanders, Favorite: ,NY Islanders, 60105   size:2.17,Price: ,2.3,Nashville, 2109832   size:142.32,Price: ,2.58,Tie, 60104   size:3.82,Price: ,3.8,ok
1.121229304, Sport: ,Soccer, Time: ,Thu Oct 15 12:00:00 CEST 2015, Time: ,Thu Oct 15 12:00:00 CEST 2015, Event: ,JSM Skikda U21 v MC El Eulma U21, Favorite: ,MC El Eulma U21, 7708858   size:2.54,Price: ,1.62,JSM Skikda U21, 10288337   size:2.54,Price: ,2.06,The Draw, 58805   size:2.54,Price: ,3.25,x
