1.121661854, Sport: ,Soccer, Time: ,Fri Nov 06 19:30:00 CET 2015, Time: ,Fri Nov 06 19:30:00 CET 2015, Event: ,Zwolle (W) v ADO Den Haag (W), Favorite: ,Zwolle (W), 5288608   size:25.13,Price: ,1.01,ADO Den Haag (W), 5291062   size:25.13,Price: ,1.01,The Draw, 58805   size:20.31,Price: ,1.02,x
1.121661579, Sport: ,Soccer, Time: ,Fri Nov 06 20:15:00 CET 2015, Time: ,Fri Nov 06 20:15:00 CET 2015, Event: ,Hibernians v St. Andrews FC, Favorite: ,Hibernians, 440559   size:108.36,Price: ,1.11,St. Andrews FC, 8222576   size:2.0,Price: ,15.0,The Draw, 58805   size:5.68,Price: ,7.8,ok
1.121666628, Sport: ,Tennis, Time: ,Fri Nov 06 19:32:00 CET 2015, Time: ,Fri Nov 06 19:32:00 CET 2015, Event: ,Bemelmans/Petzschner v Kowalczyk/Marcan, Favorite: ,Bemelmans/Petzschner, 10383945   size:1145.78,Price: ,1.1,Kowalczyk/Marcan, 10431867   size:206.63,Price: ,1.45,ok
1.121662944, Sport: ,Soccer, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,UDG Tenerife Sur II (W) v EMF Au Guimar (W), Favorite: ,UDG Tenerife Sur II (W), 10326912   size:138.83,Price: ,1.06,EMF Au Guimar (W), 10398396   size:138.83,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121589311, Sport: ,Soccer, Time: ,Sat Nov 07 01:00:00 CET 2015, Time: ,Sat Nov 07 01:00:00 CET 2015, Event: ,El Nacional v Univ Catolica (Ecu), Favorite: ,Univ Catolica (Ecu), 7005170   size:31.62,Price: ,2.28,El Nacional, 330234   size:105.17,Price: ,3.4,The Draw, 58805   size:9.39,Price: ,3.55,ok
1.121532946, Sport: ,Soccer, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Wehen Wiesbaden v Dynamo Dresden, Favorite: ,Wehen Wiesbaden, 6500322   size:132.99,Price: ,1.75,Dynamo Dresden, 498543   size:2.8,Price: ,6.2,The Draw, 58805   size:2.8,Price: ,3.7,x
1.121653555, Sport: ,Basketball, Time: ,Fri Nov 06 19:30:00 CET 2015, Time: ,Fri Nov 06 19:30:00 CET 2015, Event: ,Graz v Gmunden, Favorite: ,Graz, 7036685   size:2.8,Price: ,1.02,Gmunden, 2638634   size:8.0,Price: ,1.18,x
1.121567019, Sport: ,Basketball, Time: ,Sat Nov 07 01:35:00 CET 2015, Time: ,Sat Nov 07 01:35:00 CET 2015, Event: ,Washington @ Boston, Favorite: ,Boston, 13108   size:2.71,Price: ,1.9,Washington, 13105   size:106.0,Price: ,2.04,ok
1.121696841, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,R Nakamura v K Suzuki, Favorite: ,Ren Nakamura, 9258729   size:7.44,Price: ,1.04,Ko Suzuki, 9258730   size:7.44,Price: ,1.04,x
1.121654764, Sport: ,Basketball, Time: ,Sat Nov 07 08:00:00 CET 2015, Time: ,Sat Nov 07 08:00:00 CET 2015, Event: ,Anyang KGC Pro v Goyang Orions, Favorite: ,Goyang Orions, 5889518   size:2.55,Price: ,1.51,Anyang KGC Pro, 10276570   size:18.86,Price: ,2.56,x
