1.121769760, Sport: ,Soccer, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,MFK OKD Karvina U19 v SK Sigma Olomouc U19, Favorite: ,SK Sigma Olomouc U19, 6573640   size:2.9,Price: ,1.98,MFK OKD Karvina U19, 7453401   size:2.72,Price: ,2.04,The Draw, 58805   size:2.91,Price: ,3.6,x
1.121788382, Sport: ,Tennis, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Stepanek v Marchenko, Favorite: ,Radek Stepanek, 2249332   size:463.27,Price: ,1.84,Illya Marchenko, 3691700   size:3.41,Price: ,2.04,x
1.121757555, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Dinamo Kiev II v Desna, Favorite: ,Dinamo Kiev II, 5239272   size:5.47,Price: ,2.06,Desna, 6666581   size:3.5,Price: ,2.8,The Draw, 58805   size:2.76,Price: ,3.05,ok
1.121786765, Sport: ,Tennis, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Austin v Safiullin, Favorite: ,Gonzales Austin, 9623169   size:8.33,Price: ,1.04,Roman Safiullin, 9125686   size:8.33,Price: ,1.04,ok
1.121645486, Sport: ,Snooker, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Selby v Maguire, Favorite: ,Mark Selby, 2280127   size:2809.08,Price: ,1.53,Stephen Maguire, 2278793   size:9.28,Price: ,2.58,x
1.121766655, Sport: ,Basketball, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Kyoto v Osaka, Favorite: ,Kyoto, 6718536   size:6.02,Price: ,1.17,Osaka, 6737020   size:6.77,Price: ,5.6,ok
1.121810476, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,A Murray v Nadal, Favorite: ,Andy Murray, 2256509   size:3.7,Price: ,1.09,Rafael Nadal, 2251410   size:30.11,Price: ,1.51,x
1.121810594, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,S Wawrinka v D Ferrer, Favorite: ,Stan Wawrinka, 8597476   size:3.7,Price: ,1.09,David Ferrer, 2257314   size:3.7,Price: ,1.09,ok
1.121810350, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,N Djokovic v Federer, Favorite: ,Novak Djokovic, 2249229   size:3.7,Price: ,1.09,Roger Federer, 2251402   size:3.7,Price: ,1.09,x
1.121761125, Sport: ,Tennis, Time: ,Fri Nov 13 06:18:00 CET 2015, Time: ,Fri Nov 13 06:18:00 CET 2015, Event: ,Kravchuk v Ebden, Favorite: ,Konstantin Kravchuk, 5011822   size:758.93,Price: ,1.8,Matthew Ebden, 4423910   size:107.09,Price: ,2.16,ok
1.121786803, Sport: ,Tennis, Time: ,Fri Nov 13 09:30:00 CET 2015, Time: ,Fri Nov 13 09:30:00 CET 2015, Event: ,Lin v Reinwein, Favorite: ,Winston Lin, 8700176   size:4.16,Price: ,1.08,Sami Reinwein, 7032038   size:4.16,Price: ,1.08,x
1.121769257, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,FC Zalau v ACS Industria Galda, Favorite: ,FC Zalau, 7174815   size:7.12,Price: ,1.12,ACS Industria Galda, 9293079   size:2.86,Price: ,1.13,The Draw, 58805   size:8.07,Price: ,3.15,x
1.121769532, Sport: ,Soccer, Time: ,Fri Nov 13 12:00:00 CET 2015, Time: ,Fri Nov 13 12:00:00 CET 2015, Event: ,Hapoel Azor v Sektzia Nes Tziona, Favorite: ,Hapoel Azor, 6772812   size:11.76,Price: ,1.85,Sektzia Nes Tziona, 5195928   size:11.76,Price: ,1.85,The Draw, 58805   size:5.21,Price: ,3.05,x
1.121668436, Sport: ,Soccer, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Maccabi Herzliya v Hapoel Nazareth Illit, Favorite: ,Maccabi Herzliya, 5195923   size:5.3,Price: ,1.93,Hapoel Nazareth Illit, 5178712   size:2.55,Price: ,3.8,The Draw, 58805   size:9.12,Price: ,3.6,x
1.121810468, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Bolelli/Fognini v Bopanna/Mergea, Favorite: ,Bolelli/Fognini, 5720390   size:8.33,Price: ,1.04,Bopanna/Mergea, 8890432   size:8.33,Price: ,1.04,ok
1.121810469, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Herbert/Mahut v Matkowski/Zimonjic, Favorite: ,Herbert/Mahut, 8942538   size:8.33,Price: ,1.04,Matkowski/Zimonjic, 9312205   size:8.33,Price: ,1.04,ok
1.121761097, Sport: ,Tennis, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Berlocq v Kicker, Favorite: ,Carlos Berlocq, 2283676   size:2767.66,Price: ,1.25,Nicolas Kicker, 8326744   size:2.86,Price: ,4.5,ok
1.121769092, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,CSM Ramnicu Sarat v CS Cetatea Targu Neamt, Favorite: ,CSM Ramnicu Sarat, 7161099   size:2.55,Price: ,1.17,CS Cetatea Targu Neamt, 7739856   size:5.0,Price: ,3.2,The Draw, 58805   size:5.21,Price: ,2.94,ok
1.121786712, Sport: ,Tennis, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Diez v Van Rijthoven, Favorite: ,Steven Diez, 4903593   size:4.16,Price: ,1.08,Tim Van Rijthoven, 10496232   size:4.16,Price: ,1.08,x
1.121769815, Sport: ,Soccer, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,MSK Zilina II v SK Sered, Favorite: ,MSK Zilina II, 8795881   size:2.55,Price: ,1.71,SK Sered, 6676698   size:2.55,Price: ,3.95,The Draw, 58805   size:2.76,Price: ,3.75,x
