1.119430649, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Duisburg v Porto, Favorite: ,Porto, 48785   size:4.92,Price: ,1.6,The Draw, 58805   size:3.91,Price: ,3.95,Duisburg, 210943   size:3.82,Price: ,4.3,ok
1.119541506, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,England U19 (W) v Spain U19 (W), Favorite: ,Spain U19 (W), 4728902   size:5.44,Price: ,1.72,The Draw, 58805   size:3.16,Price: ,3.75,England U19 (W), 4044101   size:8.3,Price: ,3.85,ok
1.119571139, Sport: ,Tennis, Time: ,Sat Jul 18 15:45:00 CEST 2015, Time: ,Sat Jul 18 15:45:00 CEST 2015, Event: ,Luczak v Lindmark, Favorite: ,Stefan Lindmark, 9625340   size:45.53,Price: ,1.03,x
1.119571257, Sport: ,Tennis, Time: ,Sat Jul 18 10:00:00 CEST 2015, Time: ,Sat Jul 18 10:00:00 CEST 2015, Event: ,Trinker v Viola, Favorite: ,Bastian Trinker, 6498880   size:2.43,Price: ,1.6,Matteo Viola, 4946664   size:3.39,Price: ,1.91,ok
1.119571259, Sport: ,Tennis, Time: ,Sat Jul 18 10:00:00 CEST 2015, Time: ,Sat Jul 18 10:00:00 CEST 2015, Event: ,Galovic v Linzer, Favorite: ,Michael Linzer, 7216260   size:5.46,Price: ,1.25,Viktor Galovic, 7444791   size:3.9,Price: ,1.35,ok
1.119542251, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Tristan Suarez v Deportivo Riestra, Favorite: ,Tristan Suarez, 7128568   size:7.82,Price: ,1.92,The Draw, 58805   size:2.15,Price: ,3.1,Deportivo Riestra, 5994579   size:3.85,Price: ,3.95,x
1.119569853, Sport: ,Tennis, Time: ,Sat Jul 18 17:15:00 CEST 2015, Time: ,Sat Jul 18 17:15:00 CEST 2015, Event: ,Becuzzi v Castagna, Favorite: ,Edoardo Castagna, 8697490   size:180.69,Price: ,1.02,Enrico Becuzzi, 7364125   size:45.53,Price: ,1.03,ok
1.119546736, Sport: ,Soccer, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,Feyenoord v VVV, Favorite: ,Feyenoord, 55264   size:3.61,Price: ,1.32,The Draw, 58805   size:3.74,Price: ,4.4,VVV, 503419   size:36.6,Price: ,6.4,x
1.119545646, Sport: ,Soccer, Time: ,Sat Jul 18 17:30:00 CEST 2015, Time: ,Sat Jul 18 17:30:00 CEST 2015, Event: ,Chievo v Union ArziganoChampo, Favorite: ,Union ArziganoChampo, 9989970   size:18.43,Price: ,1.02,The Draw, 58805   size:4.16,Price: ,1.25,x
1.119569737, Sport: ,Tennis, Time: ,Sat Jul 18 15:30:00 CEST 2015, Time: ,Sat Jul 18 15:30:00 CEST 2015, Event: ,Schmiedlova v Hercog, Favorite: ,Anna Karolina Schmiedlo, 9379842   size:298.3,Price: ,1.71,Polona Hercog, 2548781   size:53.68,Price: ,2.26,ok
1.119434339, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Sundsvall v Halmstads, Favorite: ,Sundsvall, 30680   size:22.49,Price: ,2.08,The Draw, 58805   size:3.91,Price: ,3.7,Halmstads, 10765   size:100.8,Price: ,3.85,x
1.119564393, Sport: ,Tennis, Time: ,Sat Jul 18 12:00:00 CEST 2015, Time: ,Sat Jul 18 12:00:00 CEST 2015, Event: ,Albot v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:8.91,Price: ,1.65,Radu Albot, 6603898   size:170.13,Price: ,2.38,x
1.119553387, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Tallinna Kalev (W) v Nomme JK Kalju (W), Favorite: ,Nomme JK Kalju (W), 9429252   size:142.62,Price: ,1.06,The Draw, 58805   size:4.16,Price: ,1.25,x
1.119434248, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Orebro v Malmo FF, Favorite: ,Malmo FF, 174383   size:41.51,Price: ,2.04,Orebro, 42617   size:154.0,Price: ,3.85,The Draw, 58805   size:205.12,Price: ,3.9,x
1.119541024, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,CKS Chelmianka Chelm v Siarka Tarnobrzeg, Favorite: ,Siarka Tarnobrzeg, 7568775   size:142.62,Price: ,1.06,The Draw, 58805   size:5.76,Price: ,1.25,ok
1.119551071, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Trafford FC v Chester, Favorite: ,Chester, 18572   size:288.14,Price: ,1.47,The Draw, 58805   size:50.53,Price: ,3.85,Trafford FC, 7588966   size:38.92,Price: ,4.7,ok
1.119554101, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Deportivo Moron v Estudiantes de Caseros, Favorite: ,Deportivo Moron, 5289143   size:2.24,Price: ,2.58,Estudiantes de Caseros, 7546748   size:6.6,Price: ,2.7,The Draw, 58805   size:19.49,Price: ,3.1,x
1.119525928, Sport: ,Volleyball, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Romania v Belarus, Favorite: ,Romania, 1206923   size:26.09,Price: ,1.73,Belarus, 2550291   size:7.4,Price: ,2.02,ok
1.119489281, Sport: ,Soccer, Time: ,Sat Jul 18 13:35:00 CEST 2015, Time: ,Sat Jul 18 13:35:00 CEST 2015, Event: ,Liaoning Whowin v Guangzhou FC, Favorite: ,Guangzhou FC, 5723376   size:161.44,Price: ,1.41,The Draw, 58805   size:68.49,Price: ,5.2,Liaoning Whowin, 9276641   size:5.16,Price: ,8.2,ok
1.119564375, Sport: ,Tennis, Time: ,Sat Jul 18 14:30:00 CEST 2015, Time: ,Sat Jul 18 14:30:00 CEST 2015, Event: ,Putintseva v Larsson, Favorite: ,Johanna Larsson, 3220168   size:306.16,Price: ,1.68,Yulia Putintseva, 4259580   size:64.01,Price: ,2.32,ok
1.119545998, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Crawley Town v Fulham, Favorite: ,Fulham, 56764   size:3.36,Price: ,1.62,The Draw, 58805   size:58.01,Price: ,3.55,Crawley Town, 266068   size:46.29,Price: ,4.2,ok
1.119542127, Sport: ,Soccer, Time: ,Sat Jul 18 13:45:00 CEST 2015, Time: ,Sat Jul 18 13:45:00 CEST 2015, Event: ,Green Archers Utd v Stallion FC, Favorite: ,Stallion FC, 8924603   size:15.57,Price: ,1.1,The Draw, 58805   size:2.04,Price: ,5.1,Green Archers Utd, 9238036   size:8.79,Price: ,6.0,x
1.119544782, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Bohemians 1905 v Pardubice, Favorite: ,Bohemians 1905, 2467701   size:2.65,Price: ,1.49,The Draw, 58805   size:2.29,Price: ,3.9,Pardubice, 4940265   size:36.76,Price: ,5.2,ok
1.119566787, Sport: ,Tennis, Time: ,Sat Jul 18 13:00:00 CEST 2015, Time: ,Sat Jul 18 13:00:00 CEST 2015, Event: ,Barthel v Arruabarrena, Favorite: ,Lara Arruabarrena, 7137471   size:109.81,Price: ,1.94,Mona Barthel, 5056975   size:108.17,Price: ,2.04,x
1.119546808, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,FK Jablonec v Varnsdorf, Favorite: ,FK Jablonec, 367578   size:2.82,Price: ,1.38,The Draw, 58805   size:50.24,Price: ,4.0,Varnsdorf, 4142631   size:36.75,Price: ,5.2,ok
1.119497944, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Lebout v Packalen, Favorite: ,Teemu Packalen, 9962844   size:7.5,Price: ,1.72,Mickael Lebout, 9382330   size:2.88,Price: ,2.2,x
1.119435489, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Schweinfurt v Nurnberg II, Favorite: ,Nurnberg II, 5576963   size:11.65,Price: ,2.52,Schweinfurt, 111723   size:30.65,Price: ,2.92,The Draw, 58805   size:43.01,Price: ,3.5,x
1.119544888, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Braga B v Famalicao, Favorite: ,Braga B, 6563319   size:148.52,Price: ,1.97,The Draw, 58805   size:71.55,Price: ,3.05,Famalicao, 5875376   size:67.0,Price: ,3.15,ok
1.119552131, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Khimik Svetlogorsk v FK Isloch Minsk, Favorite: ,FK Isloch Minsk, 7328081   size:2.95,Price: ,1.34,The Draw, 58805   size:15.51,Price: ,2.98,Khimik Svetlogorsk, 5796702   size:6.12,Price: ,4.0,ok
1.119429803, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,TSV St Johann v FC Kitzbuhel, Favorite: ,TSV St Johann, 3258140   size:2.63,Price: ,2.4,FC Kitzbuhel, 5678590   size:4.08,Price: ,2.76,The Draw, 58805   size:3.76,Price: ,3.5,x
1.119428834, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Rudar v Krka, Favorite: ,Rudar, 2143882   size:2.63,Price: ,1.9,The Draw, 58805   size:2.63,Price: ,3.6,Krka, 3346298   size:3.2,Price: ,3.95,x
1.119550059, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,SG Gangelt Hastenrath v Fortuna Sittard, Favorite: ,Fortuna Sittard, 49058   size:142.62,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
